date,day_of_week,expiry_type,chart,nifty_open,nifty_high,nifty_low,nifty_close,prev_open,prev_high,prev_low,prev_close,gap_pct,open_in_prev_range,vix_open,vix_close,vix_predicted_move_pct,actual_range_pct,actual_open_close_pct,intraday_high_pct,intraday_low_pct,range_vs_vix_ratio,diff_pct,vix_accuracy,move_direction,close_in_prev_range,prev_close_to_close_pct,close_vs_prev_range
2020-07-02,Thursday,weekly,▁↑▁↑█↓▅ 📈,10493.05,10598.2,10485.55,10551.7,10323.8,10447.05,10299.6,10430.05,0.6,No,28.12,26.51,1.47,1.07,0.56,1.0,0.07,0.73,-0.4,Overestimated,Down to Up,No,1.17,Above High
2020-07-09,Thursday,weekly,▃↓▁↑█↓▆ 📈,10755.55,10836.85,10733.0,10813.45,10818.65,10847.85,10676.55,10705.75,0.47,Yes,26.1,24.91,1.37,0.97,0.54,0.76,0.21,0.71,-0.4,Overestimated,Down to Up,Yes,1.01,Within Range
2020-07-16,Thursday,weekly,▆↓▁↑█↓▇ 📈,10706.2,10755.3,10595.2,10739.95,10701.0,10827.45,10577.75,10618.2,0.83,Yes,26.29,25.36,1.38,1.5,0.32,0.46,1.04,1.09,0.12,Overestimated,Down to Up,Yes,1.15,Within Range
2020-07-23,Thursday,weekly,▃↓▁↑█↓▇ 📈,11135.0,11239.8,11103.15,11215.45,11231.2,11238.1,11056.55,11132.6,0.02,Yes,24.89,24.64,1.3,1.23,0.72,0.94,0.29,0.94,-0.08,Overestimated,Down to Up,Yes,0.74,Within Range
2020-07-30,Thursday,monthly,▇↓▁↑█↓▂ 📉,11254.3,11299.95,11084.95,11102.15,11276.9,11341.4,11149.75,11202.85,0.46,Yes,24.11,24.73,1.26,1.91,1.35,0.41,1.5,1.51,0.65,Underestimated,Top to Down,No,-0.9,Below Low
2020-08-06,Thursday,weekly,▄↓▁↑█↓▅ 📈,11185.7,11256.8,11127.3,11200.15,11155.75,11225.65,11064.05,11101.65,0.76,Yes,23.57,23.15,1.23,1.16,0.13,0.64,0.52,0.94,-0.08,Overestimated,Down to Up,Yes,0.89,Within Range
2020-08-13,Thursday,weekly,▆↓▁↑█↓▃ 📉,11334.85,11359.3,11269.95,11300.45,11289.0,11322.0,11242.65,11308.4,0.23,No,20.85,20.57,1.09,0.79,0.3,0.22,0.57,0.72,-0.3,Overestimated,Top to Down,Yes,-0.07,Within Range
2020-08-20,Thursday,weekly,▄↓▁↑█↓▃ 📉,11317.45,11361.45,11289.8,11312.2,11452.15,11460.35,11394.1,11408.4,-0.8,No,19.96,20.62,1.05,0.63,0.05,0.39,0.24,0.61,-0.41,Overestimated,Top to Down,No,-0.84,Below Low
2020-08-27,Thursday,monthly,▇↓▁↑█↓▃ 📉,11609.3,11617.35,11540.6,11559.25,11512.85,11561.75,11461.85,11549.6,0.52,No,19.3,18.9,1.01,0.66,0.43,0.07,0.59,0.65,-0.35,Overestimated,Top to Down,Yes,0.08,Within Range
2020-09-03,Thursday,weekly,▆↓▁↑█↓▃ 📉,11566.2,11584.95,11507.65,11527.45,11478.55,11554.75,11430.4,11535.0,0.27,No,21.11,20.5,1.11,0.67,0.34,0.16,0.51,0.6,-0.44,Overestimated,Top to Down,Yes,-0.07,Within Range
2020-09-10,Thursday,weekly,▃↓▁↑█↓▇ 📈,11363.3,11464.05,11327.4,11449.25,11218.6,11298.15,11185.15,11278.0,0.76,No,22.23,21.26,1.16,1.2,0.76,0.89,0.32,1.03,0.04,Overestimated,Down to Up,No,1.52,Above High
2020-09-17,Thursday,weekly,▄↓▁↑█↓▂ 📉,11539.4,11587.2,11498.5,11516.1,11538.45,11618.1,11516.75,11604.55,-0.56,Yes,19.66,20.1,1.03,0.77,0.2,0.41,0.35,0.75,-0.26,Overestimated,Top to Down,No,-0.76,Below Low
2020-09-24,Thursday,monthly,█↓▁↑█↓▁ 📉,11011.0,11015.3,10790.2,10805.55,11258.75,11259.55,11024.4,11131.85,-1.09,No,20.99,23.51,1.1,2.04,1.87,0.04,2.01,1.86,0.95,Underestimated,Top to Down,No,-2.93,Below Low
2020-10-01,Thursday,weekly,▂↓▁↑█↓▇ 📈,11364.45,11428.6,11347.05,11416.95,11244.45,11295.4,11184.55,11247.55,1.04,No,19.53,18.35,1.02,0.72,0.46,0.56,0.15,0.7,-0.3,Overestimated,Down to Up,No,1.51,Above High
2020-10-08,Thursday,weekly,▄↓▁↑█↓▄ 📉,11835.4,11905.7,11791.15,11834.6,11679.25,11763.05,11629.35,11738.85,0.82,No,20.06,20.38,1.05,0.97,0.01,0.59,0.37,0.92,-0.08,Overestimated,Top to Down,No,0.82,Above High
2020-10-15,Thursday,weekly,█↓▁↑█↓▁ 📉,12023.45,12025.45,11661.3,11680.35,11917.4,11997.2,11822.15,11971.05,0.44,No,20.21,22.06,1.06,3.03,2.85,0.02,3.01,2.86,1.97,Underestimated,Top to Down,No,-2.43,Below Low
2020-10-22,Thursday,weekly,▅↓▁↑█↓▅ 📈,11890.0,11939.55,11823.45,11896.45,11958.55,12018.65,11775.75,11937.65,-0.4,Yes,22.92,22.64,1.2,0.98,0.05,0.42,0.56,0.81,-0.22,Overestimated,Down to Up,Yes,-0.35,Within Range
2020-10-29,Thursday,monthly,▂↓▁↑█↓▄ 📈,11633.3,11744.15,11606.45,11670.8,11922.6,11929.4,11684.85,11729.6,-0.82,No,23.28,24.02,1.22,1.18,0.32,0.95,0.23,0.97,-0.04,Overestimated,Down to Up,No,-0.5,Below Low
