date,day_of_week,expiry_type,csv_move_direction,afternoon_direction,concordance,vix_open,vix_close,vix_bucket,t1_fii_stance,t1_pro_stance,fii_composite,fii_view,pro_composite,pro_view,price_at_2pm,session_close,inflection_time,inflection_price,move_from_inflection_pct,move_from_2pm_pct
2020-08-06,Thursday,weekly,Down to Up,Top to Down,Mismatch,23.57,23.15,High (>20),FII Neutral,PRO Mildly Bullish,-12215,Neutral,-50418,Bearish,11225.55,11206.8,14:00,11225.75,0.169,0.167
2020-08-13,Thursday,weekly,Top to Down,Flat,Flat,20.85,20.57,High (>20),FII Bearish (sold fut >10K),PRO Mildly Bearish,-20358,Neutral,-6271,Neutral,11313.15,11312.2,,,0.0,0.008
2020-08-20,Thursday,weekly,Top to Down,Top to Down,Match,19.96,20.62,Medium (15-20),FII Neutral,PRO Mildly Bearish,-9672,Neutral,-37640,Mildly Bearish,11312.45,11308.3,14:45,11333.95,0.226,0.037
2020-08-27,Thursday,monthly,Top to Down,Flat,Flat,19.3,18.9,Medium (15-20),FII Neutral,PRO Confident (sold puts >20K),17711,Neutral,66367,Bullish,11571.7,11571.5,,,0.0,0.002
2020-09-03,Thursday,weekly,Top to Down,Top to Down,Match,21.11,20.5,High (>20),FII Neutral,PRO Confident (sold puts >20K),-23886,Neutral,17638,Neutral,11553.55,11535.7,14:25,11566.15,0.263,0.154
2020-09-10,Thursday,weekly,Down to Up,Down to Up,Match,22.23,21.26,High (>20),FII Very Bearish (sold fut >10K + bought puts >20K),PRO Mildly Bearish,-37945,Mildly Bearish,-52148,Bearish,11376.2,11454.35,14:00,11376.2,0.687,0.687
2020-09-17,Thursday,weekly,Top to Down,Top to Down,Match,19.66,20.1,Medium (15-20),FII Neutral,PRO Confident (sold puts >20K),-7561,Neutral,24000,Neutral,11537.05,11519.25,14:35,11561.45,0.365,0.154
2020-09-24,Thursday,monthly,Top to Down,Top to Down,Match,20.99,23.51,High (>20),FII Neutral,PRO Mildly Bearish,-22027,Neutral,-14948,Neutral,10900.7,10821.35,14:15,10913.55,0.845,0.728
2020-10-01,Thursday,weekly,Down to Up,Down to Up,Match,19.53,18.35,Medium (15-20),FII Neutral,PRO Confident (sold puts >20K),39333,Mildly Bullish,20513,Neutral,11407.5,11422.4,14:35,11384.4,0.334,0.131
2020-10-08,Thursday,weekly,Top to Down,Top to Down,Match,20.06,20.38,High (>20),FII Neutral,PRO Confident (sold puts >20K),1536,Neutral,-1845,Neutral,11860.85,11833.15,14:10,11870.8,0.317,0.234
2020-10-15,Thursday,weekly,Top to Down,Top to Down,Match,20.21,22.06,High (>20),FII Neutral,PRO Confident (sold puts >20K),-19455,Neutral,22578,Neutral,11795.15,11672.55,14:00,11796.7,1.052,1.039
2020-10-22,Thursday,weekly,Down to Up,Down to Up,Match,22.92,22.64,High (>20),FII Neutral,PRO Confident (sold puts >20K),27173,Neutral,-3493,Neutral,11896.9,11902.25,14:40,11824.0,0.662,0.045
2020-10-29,Thursday,monthly,Down to Up,Down to Up,Match,23.28,24.02,High (>20),FII Bearish (sold fut >10K),PRO Hedging (bought puts >20K),-41415,Mildly Bearish,-148145,Strong Bearish,11650.9,11670.7,14:35,11606.75,0.551,0.17
2020-11-05,Thursday,weekly,Down to Up,Down to Up,Match,23.2,20.97,High (>20),FII Neutral,PRO Mildly Bearish,-11771,Neutral,-11954,Neutral,12085.55,12127.6,14:05,12072.05,0.46,0.348
2020-11-12,Thursday,weekly,Top to Down,Down to Up,Mismatch,22.03,20.62,High (>20),FII Neutral,PRO Mildly Bullish,9834,Neutral,7431,Neutral,12686.0,12693.0,14:35,12640.6,0.415,0.055
2020-11-19,Thursday,weekly,Top to Down,Top to Down,Match,19.12,19.57,Medium (15-20),FII Neutral,PRO Confident (sold puts >20K),-1142,Neutral,24413,Neutral,12879.5,12760.6,14:00,12890.45,1.007,0.923
2020-11-26,Thursday,monthly,Down to Up,Down to Up,Match,23.13,20.02,High (>20),FII Very Bearish (sold fut >10K + bought puts >20K),PRO Hedging (bought puts >20K),-66135,Bearish,-193765,Strong Bearish,12884.75,13015.05,14:00,12883.45,1.021,1.011
2020-12-10,Thursday,weekly,Top to Down,Down to Up,Mismatch,18.92,18.71,Medium (15-20),FII Neutral,PRO Confident (sold puts >20K),22416,Neutral,88814,Bullish,13423.45,13481.55,14:15,13409.05,0.541,0.433
2020-12-17,Thursday,weekly,Down to Up,Top to Down,Mismatch,19.2,19.16,Medium (15-20),FII Neutral,PRO Confident (sold puts >20K),24862,Neutral,39573,Mildly Bullish,13757.35,13734.85,14:05,13772.8,0.276,0.164
2020-12-24,Thursday,weekly,Down to Up,Down to Up,Match,20.5,19.97,High (>20),FII Bearish (sold fut >10K),PRO Confident (sold puts >20K),-5079,Neutral,107576,Strong Bullish,13733.3,13740.4,14:00,13714.85,0.186,0.052
2020-12-31,Thursday,monthly,Down to Up,Top to Down,Mismatch,21.11,21.1,High (>20),FII Neutral,PRO Confident (sold puts >20K),6024,Neutral,3135,Neutral,14006.7,13967.0,14:00,14024.4,0.409,0.283
2021-01-07,Thursday,weekly,Top to Down,Top to Down,Match,21.0,20.62,High (>20),FII Hedging (bought puts >20K),PRO Hedging (bought puts >20K),-27567,Neutral,-107708,Strong Bearish,14198.25,14148.45,14:00,14198.7,0.354,0.351
2021-01-14,Thursday,weekly,Down to Up,Top to Down,Mismatch,23.29,23.03,High (>20),FII Very Bearish (sold fut >10K + bought puts >20K),PRO Hedging (bought puts >20K),-24313,Neutral,-75819,Bearish,14602.2,14597.5,14:30,14611.0,0.092,0.032
2021-01-21,Thursday,weekly,Top to Down,Top to Down,Match,21.55,22.18,High (>20),FII Bearish (sold fut >10K),PRO Neutral,-34598,Mildly Bearish,19755,Neutral,14734.9,14630.4,14:00,14737.85,0.729,0.709
2021-01-28,Thursday,monthly,Down to Up,Down to Up,Match,24.39,24.29,High (>20),FII Very Bearish (sold fut >10K + bought puts >20K),PRO Confident (sold puts >20K),-53903,Bearish,-59498,Bearish,13799.45,13819.75,14:50,13753.8,0.48,0.147
2021-02-04,Thursday,weekly,Down to Up,Down to Up,Match,23.75,23.12,High (>20),FII Confident (sold puts >20K),PRO Confident (sold puts >20K),27330,Neutral,49638,Mildly Bullish,14844.25,14889.5,14:00,14842.05,0.32,0.305
2021-02-11,Thursday,weekly,Down to Up,Down to Up,Match,23.95,23.05,High (>20),FII Neutral,PRO Mildly Bearish,2945,Neutral,-22540,Neutral,15145.5,15176.65,14:00,15127.5,0.325,0.206
2021-02-18,Thursday,weekly,Top to Down,Down to Up,Mismatch,21.78,21.54,High (>20),FII Neutral,PRO Mildly Bearish,-16917,Neutral,-33417,Mildly Bearish,15084.8,15120.2,14:00,15080.55,0.263,0.235
2021-02-25,Thursday,monthly,Down to Up,Top to Down,Mismatch,24.17,22.89,High (>20),FII Confident (sold puts >20K),PRO Confident (sold puts >20K),35118,Mildly Bullish,167112,Strong Bullish,15126.35,15103.8,14:25,15173.75,0.461,0.149
2021-03-04,Thursday,weekly,Down to Up,Top to Down,Mismatch,22.09,24.15,High (>20),FII Mildly Bullish,PRO Confident (sold puts >20K),25928,Neutral,125847,Strong Bullish,15118.8,15087.15,14:15,15179.3,0.607,0.209
2021-03-10,Wednesday,weekly,Top to Down,Down to Up,Mismatch,22.5,20.75,High (>20),FII Mildly Bullish,PRO Confident (sold puts >20K),33638,Mildly Bullish,79345,Bullish,15152.3,15168.15,14:00,15148.85,0.127,0.105
