date,nifty_open,nifty_high,nifty_low,nifty_close,fii_view,pro_view,fii_bucket,pro_bucket,alignment,strong_alignment,move_direction,outcome_classification,close_outcome,vix_exhaustion,vix_predicted_move_pct,intraday_high_pct,intraday_low_pct,actual_open_close_pct,actual_range_pct,is_nifty_expiry,vix_open,vix_regime,year
2020-08-06,11185.7,11256.15,11130.4,11206.8,Neutral,Bearish,Neutral,Bearish,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.48,0.63,-0.49,0.19,1.12,1,23.57,Elevated (20-30),2020
2020-08-07,11186.65,11231.85,11145.2,11216.9,Neutral,Bullish,Neutral,Bullish,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.46,0.4,-0.37,0.27,0.77,0,23.15,Elevated (20-30),2020
2020-08-10,11270.25,11336.85,11238.35,11274.65,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.46,0.59,-0.28,0.04,0.87,0,23.15,Elevated (20-30),2020
2020-08-11,11322.25,11372.85,11299.25,11332.0,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.46,0.45,-0.2,0.09,0.65,0,23.15,Elevated (20-30),2020
2020-08-12,11289.0,11321.85,11243.45,11310.75,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.46,0.29,-0.4,0.19,0.69,0,23.15,Elevated (20-30),2020
2020-08-13,11334.85,11359.25,11270.6,11312.2,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.31,0.22,-0.57,-0.2,0.78,1,20.85,Elevated (20-30),2020
2020-08-14,11353.3,11366.1,11112.3,11183.05,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.3,0.11,-2.12,-1.5,2.24,0,20.57,Elevated (20-30),2020
2020-08-17,11248.9,11266.95,11145.35,11259.65,Neutral,Bearish,Neutral,Bearish,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.3,0.16,-0.92,0.1,1.08,0,20.57,Elevated (20-30),2020
2020-08-18,11259.8,11401.15,11255.4,11391.2,Mildly Bullish,Mildly Bullish,Bullish,Bullish,Bullish Alignment,None,Down to Up,Against then Recovered,Worked and Remained,Exceeded Half then Reversed,1.3,1.26,-0.04,1.17,1.29,0,20.57,Elevated (20-30),2020
2020-08-19,11452.15,11458.6,11394.45,11421.35,Neutral,Bullish,Neutral,Bullish,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.3,0.06,-0.5,-0.27,0.56,0,20.57,Elevated (20-30),2020
2020-08-20,11317.45,11359.1,11290.15,11308.3,Neutral,Mildly Bearish,Neutral,Bearish,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.26,0.37,-0.24,-0.08,0.61,1,19.96,Normal (15-20),2020
2020-08-21,11409.65,11417.95,11362.4,11378.4,Mildly Bearish,Neutral,Bearish,Neutral,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.3,0.07,-0.41,-0.27,0.49,0,20.62,Elevated (20-30),2020
2020-08-24,11412.0,11496.6,11412.0,11472.9,Mildly Bullish,Neutral,Bullish,Neutral,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.3,0.74,0.0,0.53,0.74,0,20.62,Elevated (20-30),2020
2020-08-25,11513.1,11525.55,11423.6,11479.35,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.3,0.11,-0.78,-0.29,0.89,0,20.62,Elevated (20-30),2020
2020-08-26,11512.85,11561.05,11462.35,11551.7,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.3,0.42,-0.44,0.34,0.86,0,20.62,Elevated (20-30),2020
2020-08-27,11609.3,11616.5,11542.05,11571.5,Neutral,Bullish,Neutral,Bullish,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.22,0.06,-0.58,-0.33,0.64,1,19.3,Normal (15-20),2020
2020-08-28,11602.95,11686.05,11592.5,11657.1,Neutral,Bearish,Neutral,Bearish,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.19,0.72,-0.09,0.47,0.81,0,18.9,Normal (15-20),2020
2020-08-31,11777.55,11794.15,11326.6,11341.05,Neutral,Mildly Bullish,Neutral,Bullish,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.19,0.14,-3.83,-3.71,3.97,0,18.9,Normal (15-20),2020
2020-09-01,11464.3,11553.05,11367.2,11494.1,Strong Bearish,Strong Bearish,Bearish,Bearish,Bearish Alignment,Strong Bearish Alignment,Down to Up,Worked then Reversed,Reversed by Close,Exceeded Half then Reversed,1.19,0.77,-0.85,0.26,1.62,0,18.9,Normal (15-20),2020
2020-09-02,11478.55,11554.15,11430.7,11543.1,Mildly Bullish,Neutral,Bullish,Neutral,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.19,0.66,-0.42,0.56,1.08,0,18.9,Normal (15-20),2020
2020-09-03,11566.2,11584.55,11508.3,11535.7,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.33,0.16,-0.5,-0.26,0.66,1,21.11,Elevated (20-30),2020
2020-09-04,11354.4,11452.0,11303.8,11358.35,Neutral,Bullish,Neutral,Bullish,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.29,0.86,-0.45,0.03,1.31,0,20.5,Elevated (20-30),2020
2020-09-07,11359.6,11379.95,11252.35,11377.0,Neutral,Bearish,Neutral,Bearish,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.29,0.18,-0.94,0.15,1.12,0,20.5,Elevated (20-30),2020
2020-09-08,11378.55,11436.45,11291.65,11294.3,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.29,0.51,-0.76,-0.74,1.27,0,20.5,Elevated (20-30),2020
2020-09-09,11218.6,11297.85,11185.3,11285.75,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.29,0.71,-0.3,0.6,1.0,0,20.5,Elevated (20-30),2020
2020-09-10,11363.3,11463.05,11329.7,11454.35,Mildly Bearish,Bearish,Bearish,Bearish,Bearish Alignment,None,Down to Up,Worked then Reversed,Reversed by Close,Reversed Before Half,1.4,0.88,-0.3,0.8,1.17,1,22.23,Elevated (20-30),2020
2020-09-11,11447.8,11492.7,11420.25,11454.85,Mildly Bullish,Strong Bullish,Bullish,Bullish,Bullish Alignment,None,Down to Up,Against then Recovered,Worked and Remained,Reversed Before Half,1.34,0.39,-0.24,0.06,0.63,0,21.26,Elevated (20-30),2020
