date,nifty_open,nifty_high,nifty_low,nifty_close,result,change_pct,vix_vs_actual_diff,up_from_open,down_from_open,fii_view,pro_view,fii_bucket,pro_bucket,alignment,strong_alignment,move_direction,outcome_classification,close_outcome,vix_exhaustion,vix_predicted_move_pct,intraday_high_pct,intraday_low_pct,actual_open_close_pct,actual_range_pct,is_nifty_expiry,vix_open,vix_regime,year
2023-09-04,19525.05,19545.15,19432.85,19535.4,Green,+0.05%,-0.18,20.1,92.2,Mildly Bullish,Strong Bullish,Bullish,Bullish,Bullish Alignment,None,Down to Up,Against then Recovered,Worked and Remained,Reversed Before Half,0.76,0.1,-0.47,0.05,0.58,0,12.06,Low (<15),2023
2023-09-05,19564.65,19587.05,19525.75,19577.65,Green,+0.07%,-0.45,22.4,38.9,Bullish,Neutral,Bullish,Neutral,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,0.76,0.11,-0.2,0.07,0.31,0,12.06,Low (<15),2023
2023-09-06,19581.2,19636.45,19491.5,19618.9,Green,+0.19%,-0.02,55.25,89.7,Neutral,Strong Bearish,Neutral,Bearish,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,0.76,0.28,-0.46,0.19,0.74,0,12.06,Low (<15),2023
2023-09-07,19598.65,19737.0,19550.05,19723.25,Green,+0.64%,0.28,138.35,48.6,Strong Bearish,Neutral,Bearish,Neutral,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,0.67,0.71,-0.25,0.64,0.95,1,10.68,Low (<15),2023
2023-09-08,19774.8,19867.15,19728.7,19820.5,Green,+0.23%,0.02,92.35,46.1,Strong Bullish,Strong Bullish,Bullish,Bullish,Bullish Alignment,Strong Bullish Alignment,Down to Up,Against then Recovered,Worked and Remained,Exceeded Half then Reversed,0.68,0.47,-0.23,0.23,0.7,0,10.87,Low (<15),2023
2023-09-11,19890.0,20008.15,19873.7,20000.0,Green,+0.55%,0.0,118.15,16.3,Mildly Bullish,Bullish,Bullish,Bullish,Bullish Alignment,None,Down to Up,Against then Recovered,Worked and Remained,Exceeded Half then Reversed,0.68,0.59,-0.08,0.55,0.68,0,10.87,Low (<15),2023
2023-09-12,20110.15,20110.35,19914.8,19985.65,Red,-0.62%,0.29,0.2,195.35,Mildly Bullish,Strong Bullish,Bullish,Bullish,Bullish Alignment,None,Top to Down,Worked then Reversed,Reversed by Close,Reversed Before Half,0.68,0.0,-0.97,-0.62,0.97,0,10.87,Low (<15),2023
2023-09-13,19989.5,20096.9,19945.5,20063.35,Green,+0.37%,0.08,107.4,44.0,Neutral,Strong Bearish,Neutral,Bearish,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,0.68,0.54,-0.22,0.37,0.76,0,10.87,Low (<15),2023
2023-09-14,20127.95,20167.65,20044.7,20101.85,Red,-0.13%,-0.14,39.7,83.25,Bullish,Strong Bullish,Bullish,Bullish,Bullish Alignment,Strong Bullish Alignment,Top to Down,Worked then Reversed,Reversed by Close,Reversed Before Half,0.75,0.2,-0.41,-0.13,0.61,1,11.83,Low (<15),2023
2023-09-15,20156.45,20222.45,20130.0,20169.0,Green,+0.06%,-0.25,66.0,26.45,Bearish,Strong Bearish,Bearish,Bearish,Bearish Alignment,Strong Bearish Alignment,Down to Up,Worked then Reversed,Reversed by Close,Reversed Before Half,0.71,0.33,-0.13,0.06,0.46,0,11.32,Low (<15),2023
2023-09-18,20155.95,20195.35,20117.8,20123.65,Red,-0.16%,-0.33,39.4,38.15,Bullish,Mildly Bullish,Bullish,Bullish,Bullish Alignment,None,Top to Down,Worked then Reversed,Reversed by Close,Reversed Before Half,0.71,0.2,-0.19,-0.16,0.38,0,11.32,Low (<15),2023
2023-09-20,19980.75,20050.65,19879.55,19909.55,Red,-0.36%,0.15,69.9,101.2,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,0.71,0.35,-0.51,-0.36,0.86,0,11.32,Low (<15),2023
2023-09-21,19840.55,19848.75,19711.0,19748.85,Red,-0.46%,-0.01,8.2,129.55,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,0.7,0.04,-0.65,-0.46,0.69,1,11.13,Low (<15),2023
2023-09-22,19744.85,19798.65,19658.5,19684.6,Red,-0.31%,0.03,53.8,86.35,Strong Bearish,Strong Bearish,Bearish,Bearish,Bearish Alignment,Strong Bearish Alignment,Top to Down,Against then Recovered,Worked and Remained,Exceeded Half then Reversed,0.68,0.27,-0.44,-0.31,0.71,0,10.82,Low (<15),2023
