Date,fii_fut_idx_net,fii_call_net,fii_put_net,FII_Direction,DII_Direction,Pro_Direction,Client_Direction,Nifty_Close,Nifty_Change_Pct,Market_Direction,FII_Correct
2025-08-11,-179727,-66446,229285,Neutral,Neutral,Neutral,Neutral,24585.05078125,-0.4,Bearish,
2025-08-12,-185258,-87161,252147,Bearish,Neutral,Neutral,Neutral,24487.400390625,0.54,Bullish,Incorrect
2025-08-13,-182757,-51745,190624,Neutral,Bullish,Bullish,Bearish,24619.349609375,0.05,Bullish,
2025-08-14,-182879,-32029,255844,Neutral,Neutral,Bearish,Neutral,24631.30078125,1.0,Bullish,
2025-08-18,-171324,-29105,254862,Bullish,Neutral,Bullish,Bearish,24876.94921875,0.42,Bullish,Correct
2025-08-19,-171531,-12657,262465,Bullish,Neutral,Bullish,Bearish,24980.650390625,0.28,Bullish,Correct
2025-08-20,-173192,-37921,211298,Bullish,Neutral,Bullish,Bearish,25050.55078125,0.13,Bullish,Correct
2025-08-21,-168050,-14965,262534,Neutral,Bullish,Neutral,Neutral,25083.75,-0.85,Bearish,
2025-08-22,-171509,-59392,294569,Neutral,Neutral,Neutral,Neutral,24870.099609375,0.39,Bullish,
2025-08-25,-170238,-47379,261702,Bullish,Neutral,Bullish,Bearish,24967.75,-1.02,Bearish,Incorrect
2025-08-26,-176929,-52912,291534,Neutral,Neutral,Neutral,Neutral,24712.05078125,-0.85,Bearish,
2025-08-28,-168514,-46009,286019,Bullish,Bullish,Bullish,Bearish,24500.900390625,-0.3,Bearish,Incorrect
2025-08-29,-175195,-75153,275057,Neutral,Neutral,Neutral,Neutral,24426.849609375,0.81,Bullish,
2025-09-01,-172547,-51703,196350,Neutral,Neutral,Bullish,Bearish,24625.05078125,-0.18,Bearish,
2025-09-02,-180425,-38055,297866,Neutral,Neutral,Bullish,Neutral,24579.599609375,0.55,Bullish,
2025-09-03,-182796,-62856,219295,Neutral,Bullish,Bullish,Bearish,24715.05078125,0.08,Bullish,
2025-09-04,-188577,-59403,270400,Neutral,Neutral,Neutral,Neutral,24734.30078125,0.03,Bullish,
2025-09-05,-191415,-42232,284954,Neutral,Bullish,Bullish,Bearish,24741.0,0.13,Bullish,
2025-09-08,-191360,7637,286112,Bullish,Bullish,Neutral,Neutral,24773.150390625,0.39,Bullish,Correct
2025-09-09,-189850,-19235,277202,Neutral,Neutral,Bullish,Bearish,24868.599609375,0.42,Bullish,
2025-09-10,-186140,-53064,240351,Bullish,Bullish,Bullish,Bearish,24973.099609375,0.13,Bullish,Correct
2025-09-11,-182800,-30491,259087,Bullish,Neutral,Bullish,Bearish,25005.5,0.43,Bullish,Correct
2025-09-12,-172349,-772,276276,Bullish,Bullish,Bullish,Bearish,25114.0,-0.18,Bearish,Incorrect
2025-09-15,-171156,-36439,287426,Neutral,Neutral,Neutral,Neutral,25069.19921875,0.68,Bullish,
2025-09-16,-159561,-10237,261102,Bullish,Bullish,Bullish,Bearish,25239.099609375,0.36,Bullish,Correct
2025-09-17,-150660,-10844,242628,Bullish,Neutral,Bullish,Bearish,25330.25,0.37,Bullish,Correct
2025-09-18,-143659,12237,276271,Neutral,Neutral,Neutral,Neutral,25423.599609375,-0.38,Bearish,
2025-09-19,-146773,33971,268175,Bullish,Bullish,Neutral,Neutral,25327.05078125,-0.49,Bearish,Incorrect
2025-09-22,-144254,-34183,285979,Neutral,Bullish,Neutral,Neutral,25202.349609375,-0.13,Bearish,
2025-09-23,-142178,-32454,267371,Bullish,Bullish,Bullish,Bearish,25169.5,-0.45,Bearish,Incorrect
2025-09-24,-145299,-58698,275063,Neutral,Bullish,Neutral,Neutral,25056.900390625,-0.66,Bearish,
2025-09-25,-147886,-75734,319619,Neutral,Bullish,Neutral,Neutral,24890.849609375,-0.95,Bearish,
2025-09-26,-166962,-56905,335802,Neutral,Bullish,Bullish,Bearish,24654.69921875,-0.08,Bearish,
2025-09-29,-169584,-25559,321929,Bullish,Neutral,Neutral,Bearish,24634.900390625,-0.1,Bearish,Incorrect
2025-09-30,-176090,-63294,271509,Bullish,Neutral,Neutral,Bearish,24611.099609375,0.92,Bullish,Correct
2025-10-01,-176910,-14807,281249,Bullish,Bullish,Bullish,Bearish,24836.30078125,0.23,Bullish,Correct
2025-10-03,-189496,-4659,290735,Neutral,Bullish,Bullish,Bearish,24894.25,0.74,Bullish,
2025-10-06,-197578,26524,281369,Bullish,Neutral,Neutral,Bearish,25077.650390625,0.12,Bullish,Correct
2025-10-07,-189530,-22575,257378,Neutral,Neutral,Neutral,Neutral,25108.30078125,-0.25,Bearish,
2025-10-08,-188676,-43914,283828,Neutral,Neutral,Neutral,Neutral,25046.150390625,0.54,Bullish,
2025-10-09,-185810,-20617,260340,Bullish,Neutral,Bullish,Bearish,25181.80078125,0.41,Bullish,Correct
2025-10-10,-181339,12449,280334,Bullish,Neutral,Neutral,Neutral,25285.349609375,-0.23,Bearish,Incorrect
2025-10-13,-185709,-35515,318732,Neutral,Bullish,Neutral,Neutral,25227.349609375,-0.32,Bearish,
2025-10-14,-194380,-31163,291407,Bullish,Neutral,Neutral,Neutral,25145.5,0.71,Bullish,Correct
2025-10-15,-189115,-2367,258528,Bullish,Neutral,Bullish,Bearish,25323.55078125,1.03,Bullish,Correct
2025-10-16,-162938,91311,288213,Bullish,Bullish,Neutral,Bearish,25585.30078125,0.49,Bullish,Correct
2025-10-17,-142520,82288,280403,Bullish,Neutral,Neutral,Neutral,25709.849609375,0.52,Bullish,Correct
2025-10-20,-137328,45727,260277,Neutral,Neutral,Neutral,Bearish,25843.150390625,0.1,Bullish,
2025-10-21,-137029,39472,245026,Bullish,Neutral,Neutral,Neutral,25868.599609375,0.09,Bullish,Correct
2025-10-23,-113511,72227,254684,Bullish,Neutral,Neutral,Neutral,25891.400390625,-0.37,Bearish,Incorrect
