date,day_of_week,expiry_type,chart,nifty_open,nifty_high,nifty_low,nifty_close,vix_open,vix_close,vix_predicted_move_pct,actual_range_pct,actual_open_close_pct,intraday_high_pct,intraday_low_pct,range_vs_vix_ratio,diff_pct,vix_accuracy,move_direction,close_in_prev_range,prev_close_to_close_pct,fii_fut_idx_net,fii_call_net,fii_put_net,FII_Direction,DII_Direction,Pro_Direction,Client_Direction,Nifty_Close,Nifty_Change_Pct,Market_Direction,FII_Correct,t1_fii_fut_idx_net,t1_fii_call_net,t1_fii_put_net,t1_FII_Direction,fii_pcr,fii_net_sentiment,fii_put_change,is_blowout,fii_direction_matches_market,consensus_count,t1_fii_pcr,vix_change
2025-08-14,Thursday,weekly,▂↓▁↑█↓▄ 📈,24607.25,24673.65,24596.9,24631.3,12.14,12.36,0.64,0.31,0.1,0.27,0.04,0.49,-0.32,Overestimated,Down to Up,No,0.19,-182879,-32029,255844,Neutral,Neutral,Bearish,Neutral,24631.30078125,1.0,Bullish,,-182757,-51745,190624,Neutral,7.9878859783321365,-470752,,0,0,0,3.6839114890327567,0.21999999999999886
2025-08-21,Thursday,weekly,▇↓▁↑█↓▃ 📉,25142.0,25153.65,25054.9,25083.75,11.79,11.37,0.62,0.39,0.23,0.05,0.35,0.64,-0.22,Overestimated,Top to Down,No,0.83,-168050,-14965,262534,Neutral,Bullish,Neutral,Neutral,25083.75,-0.85,Bearish,,-173192,-37921,211298,Bullish,17.543200801871034,-445549,6690.0,0,0,0,5.572057698900346,-0.41999999999999993
2025-08-28,Thursday,monthly,█↓▁↑█↓▂ 📉,24695.8,24702.65,24481.6,24500.9,12.19,12.18,0.64,0.9,0.79,0.03,0.87,1.4,0.26,Overestimated,Top to Down,No,-1.48,-168514,-46009,286019,Bullish,Bullish,Bullish,Bearish,24500.900390625,-0.3,Bearish,Incorrect,-176929,-52912,291534,Neutral,6.21658805885805,-500542,23485.0,0,0,1,5.509789839733898,-0.009999999999999787
2025-09-02,Tuesday,weekly,▅↓▁↑█↓▃ 📉,24653.0,24756.1,24522.35,24579.6,11.29,11.4,0.59,0.95,0.3,0.42,0.53,1.6,0.36,Overestimated,Top to Down,Yes,0.32,-180425,-38055,297866,Neutral,Neutral,Bullish,Neutral,24579.599609375,0.55,Bullish,,-172547,-51703,196350,Neutral,7.827250032847195,-516346,11847.0,0,0,1,3.797651973773282,0.11000000000000121
2025-09-09,Tuesday,weekly,▆↓▁↑█↓▆ 📈,24864.1,24891.8,24814.0,24868.6,10.84,10.69,0.57,0.31,0.02,0.11,0.2,0.55,-0.25,Overestimated,Down to Up,Yes,0.54,-189850,-19235,277202,Neutral,Neutral,Bullish,Bearish,24868.599609375,0.42,Bullish,,-191360,7637,286112,Bullish,14.41133350662854,-486287,-20664.0,0,0,1,37.463925625245516,-0.15000000000000036
2025-09-16,Tuesday,weekly,▁↑▁↑█↓▇ 📈,25073.6,25261.4,25070.45,25239.1,10.4,10.27,0.54,0.76,0.66,0.75,0.01,1.4,0.22,Overestimated,Down to Up,No,0.93,-159561,-10237,261102,Bullish,Bullish,Bullish,Bearish,25239.099609375,0.36,Bullish,Correct,-171156,-36439,287426,Neutral,25.50571456481391,-430900,-16100.0,0,1,3,7.887867394824227,-0.13000000000000078
2025-09-23,Tuesday,weekly,▆↓▁↑█↓▄ 📉,25209.0,25261.9,25084.65,25169.5,10.56,10.63,0.55,0.7,0.16,0.21,0.49,1.27,0.15,Overestimated,Top to Down,No,-1.0,-142178,-32454,267371,Bullish,Bullish,Bullish,Bearish,25169.5,-0.45,Bearish,Incorrect,-144254,-34183,285979,Neutral,8.238460590374068,-442003,6269.0,0,0,1,8.366117660825557,0.07000000000000028
2025-09-30,Tuesday,monthly,▆↓▁↑█↓▂ 📉,24691.95,24731.8,24587.7,24611.1,11.37,11.07,0.6,0.58,0.33,0.16,0.42,0.98,-0.01,Overestimated,Top to Down,No,-1.12,-176090,-63294,271509,Bullish,Neutral,Neutral,Bearish,24611.099609375,0.92,Bullish,Correct,-169584,-25559,321929,Bullish,4.289648307896483,-510893,4138.0,0,1,1,12.595524081536837,-0.29999999999999893
2025-10-07,Tuesday,weekly,▁↑▁↑█↓▃ 📈,25085.3,25220.9,25076.3,25108.3,10.19,10.05,0.53,0.58,0.09,0.54,0.04,1.08,0.04,Overestimated,Down to Up,No,1.1,-189530,-22575,257378,Neutral,Neutral,Neutral,Neutral,25108.30078125,-0.25,Bearish,,-197578,26524,281369,Bullish,11.401018826135106,-469483,-14131.0,0,0,0,10.608090785703514,-0.1399999999999988
2025-10-14,Tuesday,weekly,▇↓▁↑█↓▃ 📉,25277.55,25310.35,25060.55,25145.5,11.01,11.16,0.58,0.99,0.52,0.13,0.86,1.71,0.41,Overestimated,Top to Down,Yes,-0.14,-194380,-31163,291407,Bullish,Neutral,Neutral,Neutral,25145.5,0.71,Bullish,Correct,-185709,-35515,318732,Neutral,9.351057343644706,-516950,34029.0,0,1,1,8.974574123609742,0.15000000000000036
2025-10-21,Tuesday,weekly,▆↓▁↑█↓▄ 📉,25901.2,25934.35,25825.8,25868.6,11.36,11.3,0.59,0.42,0.13,0.13,0.29,0.7,-0.18,Overestimated,Top to Down,No,1.11,-137029,39472,245026,Bullish,Neutral,Neutral,Neutral,25868.599609375,0.09,Bullish,Correct,-137328,45727,260277,Neutral,6.207590190514796,-342583,-46381.0,0,1,1,5.691976294093205,-0.05999999999999872
