date,day_of_week,sensex_open,sensex_high,sensex_low,sensex_close,actual_range_pct,actual_open_close_pct,move_direction,vix_open,vix_close,bse_fii_fut_daily,bse_fii_call_daily,bse_fii_put_daily,bse_fii_stance,bse_fii_composite,bse_fii_view,bse_pro_fut_daily,bse_pro_call_daily,bse_pro_put_daily,bse_pro_stance,bse_pro_composite,bse_pro_view
2026-09-02,Wednesday,76471.32,76570.35,76135.72,76570.35,0.57,0.13,Down to Up,11.49,11.59,-15.0,-28403.0,34301.0,FII Hedging (bought puts >20K),-62719.0,Bearish,-128.0,-61651.0,34063.0,PRO Hedging (bought puts >20K),-95842.0,Bearish
2026-09-03,Thursday,76724.95,76924.48,76152.86,76152.86,1.01,-0.75,Top to Down,11.59,11.34,9.0,17432.0,-51404.0,FII Confident (sold puts >20K),68845.0,Bullish,-149.0,54342.0,55108.0,PRO Hedging (bought puts >20K),-915.0,Neutral
2026-09-04,Friday,76657.02,76883.14,76515.43,76515.43,0.48,-0.18,Top to Down,11.34,10.68,2.0,34454.0,34393.0,FII Hedging (bought puts >20K),63.0,Neutral,-296.0,32371.0,-36988.0,PRO Confident (sold puts >20K),69063.0,Bullish
2026-09-07,Monday,76446.05,76477.19,75970.52,76132.81,0.66,-0.41,Top to Down,10.68,11.16,1.0,-15232.0,-18648.0,FII Neutral,3417.0,Neutral,287.0,-24674.0,-38076.0,PRO Confident (sold puts >20K),13689.0,Neutral
2026-09-08,Tuesday,75970.28,76012.11,75553.35,75577.58,0.6,-0.52,Top to Down,11.16,11.16,-80.0,-27572.0,39287.0,FII Hedging (bought puts >20K),-66939.0,Bearish,-282.0,-79438.0,20830.0,PRO Hedging (bought puts >20K),-100550.0,Strong Bearish
2026-09-09,Wednesday,75216.22,75251.23,74764.23,74764.23,0.65,-0.6,Top to Down,11.23,11.92,-47.0,22195.0,8650.0,FII Neutral,13498.0,Neutral,-296.0,-18251.0,-2917.0,PRO Neutral,-15630.0,Neutral
2026-09-10,Thursday,74742.54,74910.96,74598.47,74902.59,0.42,0.21,Down to Up,11.92,11.8,31.0,37422.0,-1641.0,FII Neutral,39094.0,Mildly Bullish,-354.0,-39717.0,57617.0,PRO Hedging (bought puts >20K),-97688.0,Bearish
2026-09-11,Friday,74309.16,74917.15,74160.16,74781.76,1.02,0.64,Down to Up,11.8,12.28,-81.0,-22557.0,-25935.0,FII Confident (sold puts >20K),3297.0,Neutral,-206.0,161871.0,-54153.0,PRO Confident (sold puts >20K),215818.0,Strong Bullish
2026-09-15,Tuesday,75369.63,75436.44,73994.03,74003.82,1.91,-1.81,Top to Down,12.28,13.43,24.0,3724.0,-21738.0,FII Confident (sold puts >20K),25486.0,Neutral,2.0,-29240.0,-85548.0,PRO Confident (sold puts >20K),56310.0,Bullish
2026-09-17,Thursday,,,,,,,,,,-20.0,-50429.0,-20200.0,FII Confident (sold puts >20K),-30249.0,Mildly Bearish,49.0,128258.0,77625.0,PRO Hedging (bought puts >20K),50682.0,Bullish
2026-09-18,Friday,74575.24,74728.44,74294.96,74294.96,0.58,-0.38,Top to Down,12.29,11.39,-1.0,44010.0,2549.0,FII Neutral,41460.0,Mildly Bullish,66.0,-23197.0,-49817.0,PRO Confident (sold puts >20K),26686.0,Neutral
2026-09-21,Monday,74535.18,74987.4,74454.18,74858.99,0.72,0.43,Down to Up,11.39,11.25,14.0,-12643.0,-28902.0,FII Confident (sold puts >20K),16273.0,Neutral,-21.0,-13627.0,-27053.0,PRO Confident (sold puts >20K),13405.0,Neutral
2026-09-22,Tuesday,74901.5,75038.93,74423.71,74529.08,0.82,-0.5,Top to Down,11.25,11.0,-46.0,12574.0,-9933.0,FII Neutral,22461.0,Neutral,428.0,-29222.0,-68442.0,PRO Confident (sold puts >20K),39648.0,Mildly Bullish
2026-09-23,Wednesday,74648.32,74973.74,74599.88,74828.25,0.5,0.24,Down to Up,11.0,10.35,38.0,17732.0,52174.0,FII Hedging (bought puts >20K),-34404.0,Mildly Bearish,-127.0,-16848.0,78134.0,PRO Hedging (bought puts >20K),-95109.0,Bearish
