date,product,buy_contracts,buy_amount_cr,sell_contracts,sell_amount_cr,oi_contracts,oi_amount_cr
2026-08-03,Commodity Futures,36754.0,2210.34,41336.0,2248.24,52652.0,1526.38
2026-08-03,Commodity Options,471300.0,15680.84,485042.0,16501.61,195127.0,8485.91
2026-08-03,Currency Futures,103393.0,1019.91,44299.0,426.99,699877.0,6.73
2026-08-03,Currency Options,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-03,Index Futures,17608.0,2827.32,4138.0,681.48,222756.0,36574.25
2026-08-03,Index Options,6112196.0,966009.14,6135213.0,969885.41,2646137.0,424023.7
2026-08-03,Interest Rate Futures,0.0,0.0,0.0,0.0,3830.0,76.04
2026-08-03,Stock Futures,337152.0,23200.0,314978.0,21253.0,6363777.0,433321.62
2026-08-03,Stock Options,276824.0,18719.88,278161.0,18776.83,578861.0,37415.97
2026-08-04,Commodity Futures,27734.0,1112.69,24610.0,1116.85,49542.0,1551.58
2026-08-04,Commodity Options,542551.0,17939.39,552951.0,18163.87,207340.0,8728.63
2026-08-04,Currency Futures,54332.0,539.25,59257.0,565.71,686934.0,6.63
2026-08-04,Currency Options,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-04,Index Futures,29836.0,4854.01,7501.0,1230.32,204019.0,33840.24
2026-08-04,Index Options,7800223.0,1242833.12,7764496.0,1237108.07,2938780.0,477773.68
2026-08-04,Interest Rate Futures,0.0,0.0,0.0,0.0,3830.0,76.03
2026-08-04,Stock Futures,286883.0,20000.48,287597.0,20307.41,6348492.0,436415.52
2026-08-04,Stock Options,298791.0,21037.06,301104.0,21221.48,653592.0,43541.67
2026-08-05,Commodity Futures,49954.0,2967.43,68041.0,3556.68,62659.0,1844.47
2026-08-05,Commodity Options,756623.0,22400.1,760319.0,22907.36,255618.0,10481.55
2026-08-05,Currency Futures,63597.0,629.48,20971.0,200.46,729560.0,7.05
2026-08-05,Currency Options,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-05,Index Futures,5766.0,936.54,8710.0,1434.56,205287.0,33949.98
2026-08-05,Index Options,18461565.0,2946134.02,18390143.0,2933546.22,2406532.0,389488.43
2026-08-05,Interest Rate Futures,0.0,0.0,0.0,0.0,3830.0,76.1
2026-08-05,Stock Futures,232744.0,16037.07,248935.0,17206.53,6357744.0,435971.03
2026-08-05,Stock Options,253391.0,17762.63,251153.0,17495.58,709808.0,47214.2
2026-08-06,Commodity Futures,44203.0,2263.04,44596.0,2413.09,63385.0,1969.15
2026-08-06,Commodity Options,675506.0,18720.04,689012.0,19188.14,277565.0,11042.84
2026-08-06,Currency Futures,31396.0,310.11,64423.0,618.77,696161.0,6.72
2026-08-06,Currency Options,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-06,Index Futures,7165.0,1196.98,12326.0,2024.91,209888.0,34809.13
2026-08-06,Index Options,11383151.0,1804942.74,11420754.0,1810436.27,2750312.0,444334.32
2026-08-06,Interest Rate Futures,0.0,0.0,0.0,0.0,3830.0,76.29
2026-08-06,Stock Futures,253898.0,17459.65,245361.0,17411.49,6382077.0,439110.58
2026-08-06,Stock Options,269319.0,19611.65,270304.0,19589.82,821445.0,55002.05
2026-08-07,Commodity Futures,27133.0,1154.46,25103.0,1036.74,61465.0,1851.35
2026-08-07,Commodity Options,627824.0,17635.12,623723.0,17394.22,279177.0,10267.26
2026-08-07,Currency Futures,58403.0,556.38,38115.0,363.52,716449.0,6.92
2026-08-07,Currency Options,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-07,Index Futures,19132.0,3132.75,5319.0,874.56,200545.0,33418.97
2026-08-07,Index Options,15132948.0,2397529.73,15215254.0,2410652.23,2530077.0,410968.52
2026-08-07,Interest Rate Futures,0.0,0.0,0.0,0.0,3830.0,76.34
2026-08-07,Stock Futures,253089.0,17654.02,250000.0,17411.69,6401948.0,440101.46
2026-08-07,Stock Options,309203.0,22580.36,312419.0,22753.94,893757.0,60349.53
2026-08-10,Commodity Futures,35281.0,1440.24,25918.0,1165.79,53945.0,1644.37
2026-08-10,Commodity Options,593311.0,15602.79,598294.0,15678.29,280715.0,9661.18
2026-08-10,Currency Futures,68900.0,656.5,48482.0,463.11,736867.0,7.11
2026-08-10,Currency Options,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-10,Index Futures,4311.0,709.54,9285.0,1533.28,202429.0,33625.12
2026-08-10,Index Options,4702250.0,755850.05,4755798.0,763795.58,2824077.0,456459.16
2026-08-10,Interest Rate Futures,0.0,0.0,0.0,0.0,3830.0,76.34
2026-08-10,Stock Futures,241864.0,17605.35,247494.0,17745.67,6403674.0,439224.71
2026-08-10,Stock Options,386865.0,29177.25,404723.0,30341.67,955967.0,64831.1
2026-08-11,Commodity Futures,50497.0,2351.83,26149.0,1624.27,38763.0,1255.47
2026-08-11,Commodity Options,1009767.0,22403.14,994366.0,22263.07,220856.0,8708.22
2026-08-11,Currency Futures,63259.0,605.38,57328.0,546.36,742798.0,7.17
2026-08-11,Currency Options,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-11,Index Futures,4194.0,690.8,6324.0,1048.26,203407.0,33770.87
2026-08-11,Index Options,6982658.0,1118722.82,6958362.0,1115467.46,2972120.0,480346.01
