date,fpi_equity_purchase_cr,fpi_equity_sales_cr,fpi_equity_net_cr,fpi_idx_fut_buy_contracts,fpi_idx_fut_sell_contracts,fpi_idx_fut_oi_contracts,fpi_idx_fut_buy_cr,fpi_idx_fut_sell_cr,fpi_idx_fut_oi_cr,fpi_idx_fut_net_contracts,fpi_idx_opt_buy_contracts,fpi_idx_opt_sell_contracts,fpi_idx_opt_oi_contracts,fpi_idx_opt_buy_cr,fpi_idx_opt_sell_cr,fpi_idx_opt_oi_cr,fpi_idx_opt_net_contracts,fpi_equity_net_direction,fpi_fut_net_direction,fpi_fut_oi_change,fpi_opt_oi_change,fpi_combined_signal
2026-08-03,20284.98,19290.02,994.96,17608,4138,222756,2827.32,681.48,36574.25,13470,6112196,6135213,2646137,966009.14,969885.41,424023.7,-23017,Bullish,Bullish,,,Strong Bullish
2026-08-04,13258.75,11843.89,1414.86,29836,7501,204019,4854.01,1230.32,33840.24,22335,7800223,7764496,2938780,1242833.12,1237108.07,477773.68,35727,Bullish,Bullish,-18737.0,292643.0,Strong Bullish
2026-08-05,18966.02,13514.56,5451.46,5766,8710,205287,936.54,1434.56,33949.98,-2944,18461565,18390143,2406532,2946134.02,2933546.22,389488.43,71422,Bullish,Neutral,1268.0,-532248.0,Mildly Bullish
2026-08-06,17025.69,17109.42,-83.73,7165,12326,209888,1196.98,2024.91,34809.13,-5161,11383151,11420754,2750312,1804942.74,1810436.27,444334.32,-37603,Neutral,Bearish,4601.0,343780.0,Mildly Bearish
2026-08-07,16581.55,16163.63,417.92,19132,5319,200545,3132.75,874.56,33418.97,13813,15132948,15215254,2530077,2397529.73,2410652.23,410968.52,-82306,Neutral,Bullish,-9343.0,-220235.0,Mildly Bullish
2026-08-10,13387.56,12534.55,853.01,4311,9285,202429,709.54,1533.28,33625.12,-4974,4702250,4755798,2824077,755850.05,763795.58,456459.16,-53548,Bullish,Neutral,1884.0,294000.0,Mildly Bullish
2026-08-11,14605.53,11135.35,3470.18,4194,6324,203407,690.8,1048.26,33770.87,-2130,6982658,6958362,2972120,1118722.82,1115467.46,480346.01,24296,Bullish,Neutral,978.0,148043.0,Mildly Bullish
2026-08-12,14898.02,15066.85,-168.83,4202,8200,204835,695.58,1346.98,33862.2,-3998,11551928,11732959,2494841,1843987.95,1872596.78,402192.69,-181031,Neutral,Neutral,1428.0,-477279.0,Neutral
2026-08-13,17005.97,17924.47,-918.5,10616,19637,220438,1770.91,3151.77,36413.36,-9021,9678574,9665922,2926457,1527810.95,1525486.22,470495.83,12652,Bearish,Bearish,15603.0,431616.0,Strong Bearish
2026-08-14,15343.4,15576.03,-232.63,4738,8234,223790,765.15,1328.81,36932.79,-3496,17213716,17591863,2705165,2698419.84,2758094.5,435984.22,-378147,Neutral,Neutral,3352.0,-221292.0,Neutral
2026-08-17,13756.7,12926.71,829.99,4399,12401,227898,718.55,2034.88,37521.47,-8002,5685017,5676750,3001197,906146.21,904764.51,482661.22,8267,Bullish,Bearish,4108.0,296032.0,Mildly Bullish
2026-08-18,11754.97,12436.01,-681.04,5925,10837,232324,974.59,1763.53,38201.95,-4912,9224551,9173208,3225841,1465961.27,1457813.27,516803.86,51343,Bearish,Neutral,4426.0,224644.0,Mildly Bearish
2026-08-19,14471.32,11897.83,2573.49,7695,20258,245293,1234.59,3262.39,40028.35,-12563,14299230,14476830,2804907,2259451.12,2286535.51,448060.57,-177600,Bullish,Bearish,12969.0,-420934.0,Mildly Bullish
2026-08-20,13396.95,12918.33,478.62,8975,24658,259710,1438.09,3936.45,42183.43,-15683,8710625,8758349,3791800,1365372.21,1372643.44,600673.38,-47724,Neutral,Bearish,14417.0,986893.0,Mildly Bearish
2026-08-21,12135.51,12417.62,-282.11,44413,46703,260932,7230.89,7591.14,42641.44,-2290,15243478,15591567,3121372,2379258.89,2434163.79,500759.16,-348089,Neutral,Neutral,1222.0,-670428.0,Neutral
2026-08-24,13181.97,13373.61,-191.64,46479,44253,262154,7836.71,7478.2,42874.3,2226,4309188,4334846,3377668,687094.2,690948.34,542391.75,-25658,Neutral,Neutral,1222.0,256296.0,Neutral
2026-08-25,12840.84,11275.37,1565.47,70339,79880,273733,11546.86,13113.74,44602.86,-9541,9453170,9320546,3905299,1508861.2,1486781.6,625922.15,132624,Bullish,Bearish,11579.0,527631.0,Mildly Bullish
