date,day_of_week,expiry_type,sensex_daily_direction,nifty_proxy_afternoon_direction,concordance,is_nifty_expiry_day,vix_open,vix_close,vix_bucket,t1_fii_stance,t1_pro_stance,fii_composite,fii_view,pro_composite,pro_view,sensex_open,sensex_close,sensex_daily_move_pct,nifty_price_at_2pm,nifty_session_close,nifty_move_from_2pm_pct,inflection_time,inflection_price,move_from_inflection_pct
2020-08-07,Friday,weekly,Down to Up,Down to Up,Match,0,23.15,22.58,High (>20),FII Neutral,PRO Hedging (bought puts >20K),27702,Neutral,52873,Bullish,37951.07,38040.57,0.236,11190.85,11216.9,0.233,14:20,11186.05,0.276
2020-08-14,Friday,weekly,Top to Down,Top to Down,Match,0,20.57,21.67,High (>20),FII Neutral,PRO Hedging (bought puts >20K),18534,Neutral,-6165,Neutral,38432.94,37877.34,1.446,11213.4,11183.05,0.271,14:00,11213.4,0.271
2020-08-21,Friday,weekly,Top to Down,Top to Down,Match,0,20.62,19.94,High (>20),FII Bearish (sold fut >10K),PRO Hedging (bought puts >20K),-40981,Mildly Bearish,-20716,Neutral,38471.93,38434.72,0.097,11397.6,11378.4,0.168,14:05,11406.15,0.243
2020-08-28,Friday,monthly,Down to Up,Down to Up,Match,0,18.9,18.35,Medium (15-20),FII Mildly Bullish,PRO Very Bearish (sold fut >10K + bought puts >20K),1561,Neutral,-70083,Bearish,39264.48,39467.31,0.517,11648.05,11657.1,0.078,15:15,11633.5,0.203
2020-09-04,Friday,weekly,Down to Up,Top to Down,Mismatch,0,20.5,22.15,High (>20),FII Neutral,PRO Hedging (bought puts >20K),-5640,Neutral,54781,Bullish,38325.0,38357.18,0.084,11416.2,11358.35,0.507,14:05,11418.15,0.524
2020-09-11,Friday,weekly,Top to Down,Down to Up,Mismatch,0,21.26,20.71,High (>20),FII Neutral,PRO Neutral,36351,Mildly Bullish,143047,Strong Bullish,38865.17,38854.55,0.027,11437.05,11454.85,0.156,14:00,11435.75,0.167
2020-09-18,Friday,weekly,Top to Down,Top to Down,Match,0,20.1,20.05,High (>20),FII Neutral,PRO Hedging (bought puts >20K),-13003,Neutral,-24688,Neutral,39200.42,38845.82,0.905,11564.45,11515.95,0.419,14:00,11575.7,0.516
2020-09-25,Friday,monthly,Down to Up,Down to Up,Match,0,23.51,20.68,High (>20),FII Bearish (sold fut >10K),PRO Hedging (bought puts >20K),43770,Mildly Bullish,89862,Bullish,36991.89,37388.66,1.073,10981.75,11035.8,0.492,14:00,10979.3,0.515
2020-10-09,Friday,weekly,Down to Up,Down to Up,Match,0,20.38,20.38,High (>20),FII Mildly Bullish,PRO Hedging (bought puts >20K),14524,Neutral,-40176,Mildly Bearish,40226.25,40509.49,0.704,11888.8,11938.0,0.414,14:10,11876.15,0.521
2020-10-16,Friday,weekly,Down to Up,Down to Up,Match,0,22.06,21.65,High (>20),FII Neutral,PRO Hedging (bought puts >20K),3144,Neutral,-15467,Neutral,39936.61,39982.98,0.116,11765.4,11770.25,0.041,14:20,11736.65,0.286
2020-10-23,Friday,weekly,Top to Down,Top to Down,Match,0,22.64,21.83,High (>20),FII Neutral,PRO Hedging (bought puts >20K),-13750,Neutral,-20442,Neutral,40728.39,40685.5,0.105,11947.95,11929.8,0.152,14:45,11960.85,0.26
2020-10-30,Friday,monthly,Top to Down,Down to Up,Mismatch,0,24.02,24.75,High (>20),FII Neutral,PRO Very Bearish (sold fut >10K + bought puts >20K),-131,Neutral,108777,Strong Bullish,39779.82,39614.07,0.417,11602.35,11646.45,0.38,14:25,11593.95,0.453
2020-11-06,Friday,weekly,Down to Up,Flat,Flat,0,20.97,20.5,High (>20),FII Mildly Bullish,PRO Very Bearish (sold fut >10K + bought puts >20K),58158,Bullish,4460,Neutral,41438.76,41893.06,1.096,12260.65,12261.35,0.006,,,0.0
2020-11-13,Friday,weekly,Down to Up,Down to Up,Match,0,20.62,19.7,High (>20),FII Bearish (sold fut >10K),PRO Hedging (bought puts >20K),-21146,Neutral,-100210,Strong Bearish,43298.92,43443.0,0.333,12694.55,12723.1,0.225,14:20,12685.7,0.295
2020-11-20,Friday,weekly,Down to Up,Top to Down,Mismatch,0,19.57,19.62,Medium (15-20),FII Neutral,PRO Hedging (bought puts >20K),-36358,Mildly Bearish,-115989,Strong Bearish,43732.14,43882.25,0.343,12862.15,12846.0,0.126,14:25,12890.95,0.349
2020-11-27,Friday,monthly,Top to Down,Top to Down,Match,0,20.02,19.82,High (>20),FII Bullish (bought fut + sold puts),PRO Bearish (sold fut >10K),55107,Bullish,124826,Strong Bullish,44325.03,44149.72,0.396,12975.1,12942.85,0.249,14:25,12990.85,0.369
2020-12-04,Friday,weekly,Down to Up,Down to Up,Match,0,19.0,18.03,Medium (15-20),FII Confident (sold puts >20K),PRO Hedging (bought puts >20K),31839,Mildly Bullish,67584,Bullish,44665.91,45079.55,0.926,13205.8,13270.7,0.491,14:10,13195.7,0.568
2020-12-11,Friday,weekly,Down to Up,Down to Up,Match,0,18.71,18.79,Medium (15-20),FII Bearish (sold fut >10K),PRO Hedging (bought puts >20K),-27314,Neutral,-122562,Strong Bearish,46060.32,46099.01,0.084,13496.55,13505.55,0.067,14:20,13403.25,0.763
2020-12-18,Friday,weekly,Top to Down,Down to Up,Mismatch,0,19.16,18.62,Medium (15-20),FII Confident (sold puts >20K),PRO Hedging (bought puts >20K),6349,Neutral,27397,Neutral,47026.02,46960.69,0.139,13735.7,13744.1,0.061,14:30,13727.2,0.123
2021-01-01,Friday,weekly,Flat,Top to Down,Mismatch,0,21.11,21.1,High (>20),FII Bullish (bought fut + sold puts),PRO Very Bearish (sold fut >10K + bought puts >20K),34093,Mildly Bullish,-24046,Neutral,47753.11,47751.33,0.004,14033.8,14014.8,0.135,14:30,14049.8,0.249
2021-01-08,Friday,weekly,Down to Up,Down to Up,Match,0,20.62,20.64,High (>20),FII Confident (sold puts >20K),PRO Hedging (bought puts >20K),18023,Neutral,38581,Mildly Bullish,48464.91,48782.51,0.655,14295.5,14343.9,0.339,14:15,14260.8,0.583
