date,fii_fut_idx_net,fii_fut_stk_net,fii_call_net,fii_put_net,pro_fut_idx_net,pro_fut_stk_net,pro_call_net,pro_put_net,t1_fii_fut_daily,t1_fii_call_daily,t1_fii_put_daily,t1_fii_direction,t1_fii_stance,t1_pro_fut_daily,t1_pro_call_daily,t1_pro_put_daily,t1_pro_direction,t1_pro_stance,bse_fii_fut_daily,bse_fii_call_daily,bse_fii_put_daily,bse_fii_composite,bse_fii_view,bse_pro_fut_daily,bse_pro_call_daily,bse_pro_put_daily,bse_pro_composite,bse_pro_view,nse_fii_composite,nse_fii_view,nse_pro_composite,nse_pro_view
2026-07-28,-266925,651191,-225538,482049,32647,380567,151379,121788,0,0,0,Neutral,FII Neutral,0,0,0,Neutral,PRO Neutral,,,,,,,,,,,0,Neutral,0,Neutral
2026-07-29,-205601,564209,-247547,521900,-2123,498366,55221,63350,61324,-22009,39851,Neutral,FII Hedging (bought puts >20K),-34770,-96158,-58438,Bearish,PRO Bearish (sold fut >10K),-24,-12703,1222,-13949,Neutral,50,38218,36046,2222,Neutral,-536,Neutral,-72490,Bearish
2026-07-30,-194818,626378,-158213,477176,5236,477538,145235,-36897,10783,89334,-44724,Bullish,FII Bullish (bought fut + sold puts),7359,90014,-100247,Bullish,PRO Confident (sold puts >20K),8,3763,-714,4485,Neutral,1178,-9406,30191,-38419,Mildly Bearish,144841,Strong Bullish,197620,Strong Bullish
2026-07-31,-186612,622289,-176285,440725,3566,453555,132067,-22921,8206,-18072,-36451,Bullish,FII Confident (sold puts >20K),-1670,-13168,13976,Bearish,PRO Neutral,541,24021,8028,16534,Neutral,-319,-42430,-27022,-15727,Neutral,26585,Neutral,-28814,Neutral
2026-08-03,-173113,644463,-184525,453770,-18,447724,155914,181150,13499,-8240,13045,Neutral,FII Mildly Bullish,-3584,23847,204071,Bearish,PRO Hedging (bought puts >20K),-29,-14134,-13688,-475,Neutral,124,-20913,-20662,-127,Neutral,-7786,Neutral,-183808,Strong Bearish
2026-08-04,-150816,643226,-128530,433395,-11121,429299,181963,75732,22297,55995,-20375,Bullish,FII Bullish (bought fut + sold puts),-11103,26049,-105418,Bullish,PRO Bearish (sold fut >10K),38,584,-485,1107,Neutral,295,-11051,-8799,-1957,Neutral,98667,Bullish,120364,Strong Bullish
2026-08-05,-153773,627538,-164997,485728,-18363,411365,-18078,-34252,-2957,-36467,52333,Bearish,FII Hedging (bought puts >20K),-7242,-200041,-109984,Bearish,PRO Confident (sold puts >20K),13,-51156,14129,-65272,Bearish,-298,-15340,51850,-67488,Bearish,-91757,Bearish,-97299,Bearish
2026-08-06,-158903,636075,-228591,461172,-12240,423653,147214,46669,-5130,-63594,-24556,Bearish,FII Confident (sold puts >20K),6123,165292,80921,Bullish,PRO Hedging (bought puts >20K),-31,37381,13166,24184,Neutral,-34,51451,53562,-2145,Neutral,-44168,Mildly Bearish,90494,Bullish
2026-08-07,-145118,639164,-163045,387627,-13225,420198,190664,-39833,13785,65546,-73545,Bullish,FII Bullish (bought fut + sold puts),-985,43450,-86502,Bullish,PRO Confident (sold puts >20K),28,27656,-7717,35401,Mildly Bullish,292,-12715,-82915,70492,Bullish,152876,Strong Bullish,128967,Strong Bullish
2026-08-10,-150058,633534,-213031,414412,-14661,420153,240413,100174,-4940,-49986,26785,Bearish,FII Hedging (bought puts >20K),-1436,49749,140007,Bearish,PRO Hedging (bought puts >20K),-34,-21882,-8465,-13451,Neutral,-299,-58410,6850,-65559,Bearish,-81711,Bearish,-91694,Bearish
2026-08-11,-152163,626950,-199936,429792,-12782,422297,213586,72417,-2105,13095,15380,Neutral,FII Neutral,1879,-26827,-27757,Neutral,PRO Confident (sold puts >20K),-25,9704,-13883,23562,Neutral,27,-13301,-44916,31642,Mildly Bullish,-4390,Neutral,2809,Neutral
2026-08-12,-156131,616514,-197579,485144,-11128,428765,1855,-13074,-3968,2357,55352,Bearish,FII Hedging (bought puts >20K),1654,-211731,-85491,Bearish,PRO Confident (sold puts >20K),-30,-33313,8770,-42113,Mildly Bearish,-258,-13303,60440,-74001,Bearish,-56963,Bearish,-124586,Strong Bearish
2026-08-13,-165169,624262,-230939,499737,-9775,439661,75882,23430,-9038,-33360,14593,Bearish,FII Mildly Bearish,1353,74027,36504,Bullish,PRO Hedging (bought puts >20K),17,26782,4638,22161,Neutral,-419,125038,7737,116882,Strong Bullish,-56991,Bearish,38876,Mildly Bullish
2026-08-14,-168702,628431,-288841,474116,-10733,444692,87180,-39305,-3533,-57902,-25621,Bearish,FII Confident (sold puts >20K),-958,11298,-62735,Bullish,PRO Confident (sold puts >20K),37,6052,15103,-9014,Neutral,-86,-30878,991,-31955,Mildly Bearish,-35814,Mildly Bearish,73075,Bullish
2026-08-17,-176698,624269,-276645,497176,-9774,435600,136817,59914,-7996,12196,23060,Bearish,FII Hedging (bought puts >20K),959,49637,99219,Bearish,PRO Hedging (bought puts >20K),-6,-17521,-9466,-8061,Neutral,0,-13415,-29420,16005,Neutral,-18860,Neutral,-48623,Mildly Bearish
2026-08-18,-181587,627976,-228525,502455,-10043,435717,125614,112002,-4889,48120,5279,Bullish,FII Neutral,-269,-11203,52088,Bearish,PRO Hedging (bought puts >20K),-23,-481,-1576,1072,Neutral,-201,-7379,-6301,-1279,Neutral,37952,Mildly Bullish,-63560,Bearish
2026-08-19,-194158,605363,-231661,611080,-10711,425352,-71246,39113,-12571,-3136,108625,Bearish,FII Very Bearish (sold fut + bought puts),-668,-196860,-72889,Bearish,PRO Confident (sold puts >20K),8,-32260,12913,-45165,Mildly Bearish,-398,-21893,36282,-58573,Bearish,-124332,Strong Bearish,-124639,Strong Bearish
2026-08-20,-209807,617137,-313586,571624,-3170,415904,33355,97090,-15649,-81925,-39456,Bearish,FII Bearish (sold fut >10K),7541,104601,57977,Bullish,PRO Hedging (bought puts >20K),-34,75313,-1657,76936,Bullish,-443,46100,-11040,56697,Bullish,-58118,Bearish,54165,Bullish
2026-08-21,-212113,666298,-233793,478916,11530,390329,114315,167492,-2306,79793,-92708,Bullish,FII Confident (sold puts >20K),14700,80960,70402,Bullish,PRO Hedging (bought puts >20K),16,-15155,1178,-16317,Neutral,490,-6196,-8872,3166,Neutral,170195,Strong Bullish,25258,Neutral
