date,day_of_week,is_sensex_expiry,is_nifty_expiry,is_dual_expiry,day_type,expiry_type,daily_direction,afternoon_direction,concordance,day_open,day_close,daily_move_pct,price_at_2pm,session_close,move_from_2pm_pct,inflection_time,inflection_price,move_from_inflection_pct,vix_open,t1_fii_stance
2020-08-06,Thursday,0,1,0,Nifty-Only Expiry,non-expiry,Down to Up,Top to Down,Mismatch,11185.7,11206.8,0.189,11225.55,11206.8,0.167,14:00,11225.75,0.169,,
2020-08-07,Friday,1,0,0,Sensex Expiry,weekly,Down to Up,Down to Up,Match,11186.65,11216.9,0.27,11190.85,11216.9,0.233,14:20,11186.05,0.276,23.15,FII Neutral
2020-08-10,Monday,0,0,0,No Expiry,non-expiry,Down to Up,Top to Down,Mismatch,11270.25,11274.65,0.039,11294.1,11274.65,0.172,14:55,11296.65,0.195,,
2020-08-11,Tuesday,0,0,0,No Expiry,non-expiry,Down to Up,Top to Down,Mismatch,11322.25,11332.0,0.086,11340.2,11332.0,0.072,14:10,11360.95,0.255,,
2020-08-12,Wednesday,0,0,0,No Expiry,non-expiry,Down to Up,Down to Up,Match,11289.0,11310.75,0.193,11294.1,11310.75,0.147,14:00,11292.85,0.159,,
2020-08-13,Thursday,0,1,0,Nifty-Only Expiry,non-expiry,Top to Down,Flat,Flat,11334.85,11312.2,-0.2,11313.15,11312.2,0.008,,,0.0,,
2020-08-14,Friday,1,0,0,Sensex Expiry,weekly,Top to Down,Top to Down,Match,11353.3,11183.05,-1.5,11213.4,11183.05,0.271,14:00,11213.4,0.271,20.57,FII Neutral
2020-08-17,Monday,0,0,0,No Expiry,non-expiry,Down to Up,Down to Up,Match,11248.9,11259.65,0.096,11226.2,11259.65,0.298,14:15,11183.1,0.685,,
2020-08-18,Tuesday,0,0,0,No Expiry,non-expiry,Down to Up,Down to Up,Match,11259.8,11391.2,1.167,11338.1,11391.2,0.468,14:00,11336.9,0.479,,
2020-08-19,Wednesday,0,0,0,No Expiry,non-expiry,Top to Down,Top to Down,Match,11452.15,11421.35,-0.269,11447.0,11421.35,0.224,14:00,11454.7,0.291,,
2020-08-20,Thursday,0,1,0,Nifty-Only Expiry,non-expiry,Top to Down,Top to Down,Match,11317.45,11308.3,-0.081,11312.45,11308.3,0.037,14:45,11333.95,0.226,,
2020-08-21,Friday,1,0,0,Sensex Expiry,weekly,Top to Down,Top to Down,Match,11409.65,11378.4,-0.274,11397.6,11378.4,0.168,14:05,11406.15,0.243,20.62,FII Bearish (sold fut >10K)
2020-08-24,Monday,0,0,0,No Expiry,non-expiry,Down to Up,Flat,Flat,11412.0,11472.9,0.534,11473.4,11472.9,0.004,,,0.0,,
2020-08-25,Tuesday,0,0,0,No Expiry,non-expiry,Top to Down,Down to Up,Mismatch,11513.1,11479.35,-0.293,11464.65,11479.35,0.128,14:15,11423.6,0.488,,
2020-08-26,Wednesday,0,0,0,No Expiry,non-expiry,Down to Up,Down to Up,Match,11512.85,11551.7,0.337,11503.1,11551.7,0.422,14:00,11503.1,0.422,,
