date,day_of_week,expiry_type,chart,sensex_open,sensex_high,sensex_low,sensex_close,vix_open,vix_close,vix_predicted_move_pct,actual_range_pct,actual_open_close_pct,intraday_high_pct,intraday_low_pct,range_vs_vix_ratio,diff_pct,vix_accuracy,t1_fii_fut_daily,t1_fii_call_daily,t1_fii_put_daily,t1_fii_stance,t1_fii_direction,t1_pro_fut_daily,t1_pro_call_daily,t1_pro_put_daily,t1_pro_stance,is_nifty_expiry_day
2020-06-26,Friday,monthly,▆↓▁↑█↓▆ 📈,35144.78,35254.88,34910.34,35171.27,29.73,28.74,1.5,0.98,0.08,0.31,-0.67,0.65,-0.52,Overestimated,-12549,-22561,4885,FII Bearish (sold fut >10K),Bearish,-8996,167482,66269,PRO Hedging (bought puts >20K),0
2020-07-03,Friday,weekly,▆↓▁↑█↓▅ 📉,36025.38,36110.21,35872.38,36021.42,26.51,25.77,1.35,0.66,-0.01,0.24,-0.42,0.49,-0.69,Overestimated,11332,15952,-11329,FII Mildly Bullish,Bullish,1703,35679,101352,PRO Hedging (bought puts >20K),0
2020-07-10,Friday,weekly,▄↓▁↑█↓▅ 📈,36555.13,36748.89,36401.11,36594.33,24.91,24.94,1.31,0.95,0.11,0.53,-0.42,0.73,-0.35,Overestimated,16128,-6630,-7251,FII Mildly Bullish,Bullish,-2018,101667,53526,PRO Hedging (bought puts >20K),0
2020-07-17,Friday,weekly,▁↓▁↑█↓▇ 📈,36547.75,37125.98,36512.92,37020.14,25.36,24.16,1.26,1.68,1.29,1.58,-0.1,1.33,0.41,Overestimated,-9298,17004,-6581,FII Neutral,Neutral,-1712,167308,21627,PRO Hedging (bought puts >20K),0
2020-07-24,Friday,weekly,▄↓▁↑█↓▆ 📈,37949.59,38235.73,37748.41,38128.9,24.64,24.54,1.28,1.28,0.47,0.75,-0.53,1.0,-0.0,Overestimated,2266,-9552,-1767,FII Neutral,Neutral,2305,56075,80879,PRO Hedging (bought puts >20K),0
2020-07-31,Friday,monthly,▇↓▁↑█↓▄ 📉,37847.88,37897.78,37431.68,37606.89,24.73,24.19,1.27,1.23,-0.64,0.13,-1.1,0.97,-0.03,Overestimated,26160,-1850,-33189,FII Bullish (bought fut + sold puts),Bullish,-35618,126129,23045,PRO Very Bearish (sold fut >10K + bought puts >20K),0
2020-08-07,Friday,weekly,▅↓▁↑█↓▆ 📈,37951.07,38109.68,37787.38,38040.57,23.15,22.58,1.18,0.85,0.24,0.42,-0.43,0.72,-0.33,Overestimated,3529,16753,-7420,FII Neutral,Bullish,-1754,99600,44973,PRO Hedging (bought puts >20K),0
2020-08-14,Friday,weekly,▇↓▁↑█↓▃ 📉,38432.94,38540.57,37654.92,37877.34,20.57,21.67,1.13,2.3,-1.45,0.28,-2.02,2.03,1.17,Underestimated,7906,5055,-5573,FII Neutral,Bullish,-6182,63245,63228,PRO Hedging (bought puts >20K),0
2020-08-21,Friday,weekly,▄↓▁↑█↓▂ 📉,38471.93,38579.83,38411.37,38434.72,20.62,19.94,1.04,0.44,-0.1,0.28,-0.16,0.42,-0.61,Overestimated,-23866,-3659,13456,FII Bearish (sold fut >10K),Bearish,6554,38050,65320,PRO Hedging (bought puts >20K),0
2020-08-28,Friday,monthly,▂↓▁↑█↓▆ 📈,39264.48,39579.58,39235.03,39467.31,18.9,18.35,0.96,0.88,0.52,0.8,-0.08,0.91,-0.08,Overestimated,29653,-31058,-2966,FII Mildly Bullish,Neutral,-17064,38019,91038,PRO Very Bearish (sold fut >10K + bought puts >20K),0
2020-09-04,Friday,weekly,▂↓▁↑█↓▃ 📈,38325.0,38729.66,38249.77,38357.18,20.5,22.15,1.16,1.25,0.08,1.06,-0.2,1.08,0.09,Overestimated,-9424,6641,2857,FII Neutral,Neutral,3413,98312,46944,PRO Hedging (bought puts >20K),0
2020-09-11,Friday,weekly,▅↓▁↑█↓▅ 📉,38865.17,38978.52,38711.8,38854.55,21.26,20.71,1.08,0.69,-0.03,0.29,-0.39,0.63,-0.4,Overestimated,7490,21366,-7495,FII Neutral,Bullish,-548,154813,11218,PRO Neutral,0
2020-09-18,Friday,weekly,█↓▁↑█↓▄ 📉,39200.42,39200.42,38635.73,38845.82,20.1,20.05,1.05,1.44,-0.9,0.0,-1.44,1.37,0.39,Overestimated,-7887,3367,8483,FII Neutral,Neutral,8287,31917,64892,PRO Hedging (bought puts >20K),0
2020-09-25,Friday,monthly,▃↓▁↑█↓▇ 📈,36991.89,37471.17,36730.52,37388.66,23.51,20.68,1.08,2.0,1.07,1.3,-0.71,1.85,0.92,Underestimated,-10410,2193,-51987,FII Bearish (sold fut >10K),Bullish,-5465,129890,34563,PRO Hedging (bought puts >20K),0
2020-10-02,Friday,weekly,▁→▁↑█↓▇ 📈,38410.2,38738.89,38410.2,38697.05,19.53,18.35,0.96,0.86,0.75,0.86,0.0,0.89,-0.1,Overestimated,23021,8412,1301,FII Mildly Bullish,Bullish,-6010,78917,62302,PRO Hedging (bought puts >20K),0
2020-10-09,Friday,weekly,▃↓▁↑█↓▇ 📈,40226.25,40585.36,40066.54,40509.49,20.38,20.38,1.07,1.29,0.7,0.89,-0.4,1.21,0.22,Overestimated,16059,-15733,-14198,FII Mildly Bullish,Neutral,3902,57936,102014,PRO Hedging (bought puts >20K),0
2020-10-16,Friday,weekly,▅↓▁↑█↓▆ 📈,39936.61,40125.71,39699.42,39982.98,22.06,21.65,1.13,1.07,0.12,0.47,-0.59,0.94,-0.07,Overestimated,-1929,-2513,-7586,FII Neutral,Neutral,11054,43949,70470,PRO Hedging (bought puts >20K),0
2020-10-23,Friday,weekly,▅↓▁↑█↓▄ 📉,40728.39,40811.12,40590.9,40685.5,22.64,21.83,1.14,0.54,-0.11,0.2,-0.34,0.47,-0.6,Overestimated,-4002,-9949,-201,FII Neutral,Neutral,-1787,65810,84465,PRO Hedging (bought puts >20K),0
2020-10-30,Friday,monthly,▆↓▁↑█↓▄ 📉,39779.82,39988.25,39241.87,39614.07,24.02,24.75,1.3,1.88,-0.42,0.52,-1.35,1.45,0.58,Underestimated,-2855,-7534,-10258,FII Neutral,Neutral,-21177,182971,53017,PRO Very Bearish (sold fut >10K + bought puts >20K),0
2020-11-06,Friday,weekly,▂↓▁↑█↓▇ 📈,41438.76,41954.93,41383.29,41893.06,20.97,20.5,1.07,1.38,1.1,1.25,-0.13,1.29,0.31,Overestimated,40865,8175,-9118,FII Mildly Bullish,Bullish,-10890,47096,31746,PRO Very Bearish (sold fut >10K + bought puts >20K),0
2020-11-13,Friday,weekly,▅↓▁↑█↓▇ 📈,43298.92,43522.25,43053.37,43443.0,20.62,19.7,1.03,1.08,0.33,0.52,-0.57,1.05,0.05,Overestimated,-20869,-17992,-17715,FII Bearish (sold fut >10K),Bearish,2655,23620,126485,PRO Hedging (bought puts >20K),0
2020-11-20,Friday,weekly,▄↓▁↑█↓▆ 📈,43732.14,44013.02,43453.75,43882.25,19.57,19.62,1.03,1.28,0.34,0.64,-0.64,1.24,0.25,Overestimated,-8282,-18699,9377,FII Neutral,Bearish,7964,-20201,103752,PRO Hedging (bought puts >20K),0
2020-11-27,Friday,monthly,▇↓▁↑█↓▄ 📉,44325.03,44407.28,43995.41,44149.72,20.02,19.82,1.04,0.93,-0.4,0.19,-0.74,0.9,-0.11,Overestimated,21685,-12107,-45529,FII Bullish (bought fut + sold puts),Bullish,-26695,161995,10474,PRO Bearish (sold fut >10K),0
2020-12-04,Friday,weekly,▁→▁↑█↓▇ 📈,44665.91,45148.28,44665.91,45079.55,19.0,18.03,0.94,1.08,0.93,1.08,0.0,1.14,0.14,Overestimated,666,6145,-25028,FII Confident (sold puts >20K),Bullish,2558,87241,22215,PRO Hedging (bought puts >20K),0
2020-12-11,Friday,weekly,▅↓▁↑█↓▆ 📈,46060.32,46309.63,45706.22,46099.01,18.71,18.79,0.98,1.31,0.08,0.54,-0.77,1.33,0.33,Overestimated,-13730,-3139,10445,FII Bearish (sold fut >10K),Bearish,5997,-16477,112082,PRO Hedging (bought puts >20K),0
2020-12-18,Friday,weekly,█↓▁↑█↓▇ 📉,47026.02,47026.02,46630.31,46960.69,19.16,18.62,0.97,0.84,-0.14,0.0,-0.84,0.86,-0.13,Overestimated,-4514,-9701,-20564,FII Confident (sold puts >20K),Neutral,5247,79693,57543,PRO Hedging (bought puts >20K),0
2020-12-25,Friday,monthly,▄↓▁↑█↓▇ 📈,46743.49,47053.4,46539.02,46973.54,20.5,19.97,1.05,1.1,0.49,0.66,-0.44,1.05,0.05,Overestimated,10741,-10558,-10079,FII Mildly Bullish,Neutral,2492,61066,75674,PRO Hedging (bought puts >20K),0
2021-01-01,Friday,weekly,▅↓▁↑█↓▅ 📉,47753.11,47896.97,47602.12,47751.33,21.11,21.1,1.1,0.62,-0.0,0.3,-0.32,0.56,-0.49,Overestimated,14247,-49544,-69390,FII Bullish (bought fut + sold puts),Bullish,-23696,93147,93497,PRO Very Bearish (sold fut >10K + bought puts >20K),0
2021-01-08,Friday,weekly,▂↓▁↑█↓▇ 📈,48464.91,48854.34,48365.58,48782.51,20.62,20.64,1.08,1.01,0.66,0.8,-0.2,0.93,-0.07,Overestimated,3133,-10268,-25158,FII Confident (sold puts >20K),Bullish,-2246,83511,42684,PRO Hedging (bought puts >20K),0
2021-01-15,Friday,weekly,█↓▁↑█↓▃ 📉,49656.71,49656.71,48795.79,49034.67,23.03,24.01,1.26,1.73,-1.25,0.0,-1.73,1.38,0.48,Overestimated,961,-19603,-30060,FII Confident (sold puts >20K),Neutral,-2213,68810,46816,PRO Hedging (bought puts >20K),0
2021-01-22,Friday,weekly,▇↓▁↑█↓▃ 📉,50096.57,50184.01,49398.86,49624.76,21.55,22.18,1.16,1.57,-0.94,0.17,-1.39,1.35,0.41,Overestimated,11169,7293,-28898,FII Bullish (bought fut + sold puts),Bullish,9151,18521,61270,PRO Hedging (bought puts >20K),0
2021-01-29,Friday,monthly,█↓▁↑█↓▂ 📉,47423.47,47423.66,46160.46,46285.77,24.29,25.34,1.33,2.66,-2.4,0.0,-2.66,2.01,1.34,Underestimated,-2271,1116,-38477,FII Confident (sold puts >20K),Bullish,-9988,218217,18157,PRO Neutral,0
2021-02-05,Friday,weekly,▇↓▁↑█↓▃ 📉,51031.39,51073.27,50565.29,50731.63,23.12,23.42,1.23,1.0,-0.59,0.08,-0.91,0.81,-0.23,Overestimated,-14236,3481,8775,FII Bearish (sold fut >10K),Bearish,12734,33490,132785,PRO Hedging (bought puts >20K),0
2021-02-12,Friday,weekly,▆↓▁↑█↓▅ 📉,51614.77,51804.58,51260.62,51544.3,23.05,22.04,1.15,1.05,-0.14,0.37,-0.69,0.91,-0.1,Overestimated,499,-1769,-1616,FII Neutral,Neutral,-342,90104,37016,PRO Hedging (bought puts >20K),0
2021-02-19,Friday,weekly,▆↓▁↑█↓▃ 📉,51238.02,51432.99,50624.33,50889.76,21.54,22.25,1.16,1.58,-0.68,0.38,-1.2,1.35,0.41,Overestimated,-1022,3790,-12779,FII Neutral,Bullish,2625,71132,33403,PRO Hedging (bought puts >20K),0
2021-02-26,Friday,monthly,▇↓▁↑█↓▂ 📉,50256.71,50400.31,48890.48,49099.99,22.89,28.14,1.47,3.0,-2.3,0.29,-2.72,2.04,1.53,Underestimated,23348,-71312,-19105,FII Mildly Bullish,Bearish,-1369,38649,102670,PRO Hedging (bought puts >20K),0
2021-03-05,Friday,weekly,▄↓▁↑█↓▃ 📉,50517.36,50886.19,50160.54,50405.32,24.15,25.56,1.34,1.44,-0.22,0.73,-0.71,1.07,0.1,Overestimated,-20495,-14589,15350,FII Bearish (sold fut >10K),Bearish,-5832,2162,96991,PRO Hedging (bought puts >20K),0
2021-03-12,Friday,weekly,▇↓▁↑█↓▂ 📉,51660.98,51821.84,50538.43,50792.08,20.75,21.71,1.14,2.48,-1.68,0.31,-2.17,2.19,1.35,Underestimated,0,0,0,FII Neutral,Neutral,0,0,0,PRO Neutral,0
2021-03-19,Friday,weekly,▂↓▁↑█↓▇ 📈,48881.19,50003.58,48586.93,49858.24,20.08,19.99,1.05,2.9,2.0,2.3,-0.6,2.77,1.85,Underestimated,2733,-7237,-20797,FII Confident (sold puts >20K),Bullish,3222,137117,-222,PRO Neutral,0
2021-03-26,Friday,monthly,▅↓▁↑█↓▅ 📈,48969.25,49234.66,48699.91,49008.5,22.7,20.65,1.08,1.09,0.08,0.54,-0.55,1.01,0.01,Overestimated,4677,-28651,-75939,FII Confident (sold puts >20K),Bullish,13256,136509,60839,PRO Hedging (bought puts >20K),0
2021-04-02,Friday,weekly,▅↓▁↑█↓▇ 📈,49868.53,50092.48,49478.53,50029.83,20.65,19.99,1.05,1.23,0.32,0.45,-0.78,1.18,0.18,Overestimated,4537,10620,-22867,FII Confident (sold puts >20K),Bullish,-7150,91717,15040,PRO Neutral,0
2021-04-09,Friday,weekly,▅↓▁↑█↓▃ 📉,49743.39,49906.91,49461.01,49591.32,20.31,19.79,1.04,0.9,-0.31,0.33,-0.57,0.87,-0.14,Overestimated,2399,-17089,9282,FII Neutral,Bearish,2430,40987,79496,PRO Hedging (bought puts >20K),0
2021-04-16,Friday,weekly,▅↓▁↑█↓▃ 📉,48935.74,49089.55,48694.49,48832.03,20.89,20.4,1.07,0.81,-0.21,0.31,-0.49,0.76,-0.26,Overestimated,13161,-10725,9313,FII Mildly Bullish,Neutral,-5273,56880,35423,PRO Hedging (bought puts >20K),0
2021-04-23,Friday,weekly,▃↓▁↑█↓▃ 📈,47863.81,48265.39,47669.55,47878.45,23.03,22.69,1.19,1.24,0.03,0.84,-0.41,1.05,0.06,Overestimated,4481,32635,-13253,FII Neutral,Bullish,-17899,116966,-29313,PRO Bearish (sold fut >10K),0
2021-04-30,Friday,monthly,▆↓▁↑█↓▂ 📉,49360.89,49569.42,48698.08,48782.36,23.31,23.03,1.21,1.77,-1.17,0.42,-1.34,1.46,0.56,Underestimated,5618,-64292,-20895,FII Confident (sold puts >20K),Bearish,7197,27378,177098,PRO Hedging (bought puts >20K),0
2021-05-07,Friday,weekly,▆↓▁↑█↓▇ 📈,48877.78,49011.31,48614.11,48949.76,21.96,22.04,1.15,0.81,0.15,0.27,-0.54,0.7,-0.34,Overestimated,-2538,13906,2497,FII Neutral,Neutral,4458,94187,43719,PRO Hedging (bought puts >20K),0
2021-05-14,Friday,weekly,█↓▁↑█↓▅ 📉,48898.93,48898.93,48473.43,48732.55,20.08,20.27,1.06,0.87,-0.34,0.0,-0.87,0.82,-0.19,Overestimated,0,0,0,FII Neutral,Neutral,0,0,0,PRO Neutral,0
2021-05-21,Friday,weekly,▁↓▁↑█↓█ 📈,49833.98,50591.12,49832.72,50540.48,19.65,19.08,1.0,1.52,1.42,1.52,-0.0,1.52,0.52,Underestimated,-9072,-39790,37293,FII Hedging (bought puts >20K),Bearish,3150,52197,56510,PRO Hedging (bought puts >20K),0
2021-05-28,Friday,monthly,▄↓▁↑█↓▅ 📈,51381.27,51529.32,51258.69,51422.88,19.91,17.4,0.91,0.53,0.08,0.29,-0.24,0.58,-0.38,Overestimated,40146,-55814,-81314,FII Bullish (bought fut + sold puts),Bullish,-7931,104152,88837,PRO Hedging (bought puts >20K),0
2021-06-04,Friday,weekly,█↓▁↑█↓▃ 📉,52367.52,52389.02,51952.7,52100.05,15.75,15.94,0.83,0.83,-0.51,0.04,-0.79,1.0,-0.0,Overestimated,4608,-6044,-17190,FII Neutral,Bullish,6443,41629,16327,PRO Neutral,0
2021-06-11,Friday,weekly,▃↓▁↑█↓▃ 📉,52477.19,52641.53,52388.95,52474.76,15.0,14.1,0.74,0.48,-0.0,0.31,-0.17,0.65,-0.26,Overestimated,-8365,34456,-1945,FII Neutral,Bullish,-8208,122555,-59711,PRO Confident (sold puts >20K),0
2021-06-18,Friday,weekly,█↓▁↑█↓▆ 📉,52568.07,52586.41,51601.11,52344.45,15.29,14.8,0.77,1.87,-0.43,0.03,-1.84,2.42,1.1,Underestimated,-2384,10737,1659,FII Neutral,Neutral,4428,39544,-17232,PRO Neutral,0
2021-06-25,Friday,monthly,▆↓▁↑█↓▇ 📈,52877.16,52973.07,52614.49,52925.04,15.1,13.37,0.7,0.68,0.09,0.18,-0.5,0.97,-0.02,Overestimated,32706,-65787,-154383,FII Bullish (bought fut + sold puts),Bullish,702,180398,40869,PRO Hedging (bought puts >20K),0
2021-07-02,Friday,weekly,▆↓▁↑█↓▇ 📈,52434.55,52527.9,52177.68,52484.67,12.84,12.09,0.63,0.67,0.1,0.18,-0.49,1.06,0.03,Overestimated,-3693,-3739,1388,FII Neutral,Neutral,-8203,51355,-45601,PRO Confident (sold puts >20K),0
2021-07-09,Friday,weekly,▇↓▁↑█↓▄ 📉,52508.24,52555.73,52228.01,52386.19,13.56,12.94,0.68,0.62,-0.23,0.09,-0.53,0.92,-0.05,Overestimated,-36053,-14613,53014,FII Very Bearish (sold fut >10K + bought puts >20K),Bearish,10882,-94127,64161,PRO Hedging (bought puts >20K),0
2021-07-16,Friday,weekly,▇↓▁↑█↓▄ 📉,53244.4,53290.81,52997.09,53140.06,12.27,11.71,0.61,0.55,-0.2,0.09,-0.46,0.9,-0.06,Overestimated,8848,9613,4097,FII Neutral,Neutral,-205,-13181,9459,PRO Neutral,0
2021-07-23,Friday,weekly,▆↓▁↑█↓▆ 📈,52967.87,53114.7,52653.77,52975.8,11.89,11.76,0.62,0.87,0.01,0.28,-0.59,1.41,0.25,Overestimated,14585,18566,-53904,FII Bullish (bought fut + sold puts),Bullish,-16985,118348,-69321,PRO Bearish (sold fut >10K),0
2021-07-30,Friday,monthly,▆↓▁↑█↓▂ 📉,52792.36,52910.23,52533.91,52586.84,12.95,12.8,0.67,0.71,-0.39,0.22,-0.49,1.06,0.04,Overestimated,42343,20902,-33853,FII Bullish (bought fut + sold puts),Bullish,-27768,127871,-13592,PRO Bearish (sold fut >10K),0
2021-08-06,Friday,weekly,▆↓▁↑█↓▂ 📉,54492.17,54633.58,54210.33,54277.72,12.87,12.61,0.66,0.78,-0.39,0.26,-0.52,1.18,0.12,Overestimated,-4142,-2052,-7493,FII Neutral,Neutral,2582,-1084,103613,PRO Hedging (bought puts >20K),0
2021-08-13,Friday,weekly,▁↓▁↑█↓▇ 📈,54911.95,55487.79,54905.49,55437.29,12.37,12.99,0.68,1.06,0.96,1.05,-0.01,1.56,0.38,Overestimated,10433,31436,-6233,FII Mildly Bullish,Bullish,-8736,88764,-62221,PRO Confident (sold puts >20K),0
2021-08-20,Friday,weekly,▃↓▁↑█↓▅ 📈,55159.13,55543.16,55013.98,55329.32,12.91,14.02,0.73,0.96,0.31,0.7,-0.26,1.31,0.23,Overestimated,0,0,0,FII Neutral,Neutral,0,0,0,PRO Neutral,0
2021-08-27,Friday,monthly,▄↓▁↑█↓▇ 📈,55862.93,56188.23,55675.87,56124.72,13.54,13.41,0.7,0.92,0.47,0.58,-0.33,1.31,0.22,Overestimated,-13190,25396,-47485,FII Bearish (sold fut >10K),Bullish,-1744,87205,86670,PRO Hedging (bought puts >20K),0
2021-09-03,Friday,weekly,▅↓▁↑█↓▇ 📈,57983.45,58194.79,57764.07,58129.95,14.24,14.54,0.76,0.74,0.25,0.36,-0.38,0.98,-0.02,Overestimated,13762,-1831,-19834,FII Mildly Bullish,Bullish,-9247,91737,11192,PRO Neutral,0
2021-09-10,Friday,weekly,▃↓▁↑█↓▇ 📈,58172.98,58334.59,58084.99,58305.07,14.41,13.94,0.73,0.43,0.23,0.28,-0.15,0.59,-0.3,Overestimated,-17087,48928,56940,FII Very Bearish (sold fut >10K + bought puts >20K),Bearish,8695,20841,48145,PRO Hedging (bought puts >20K),0
2021-09-17,Friday,weekly,▅↓▁↑█↓▂ 📉,59409.98,59737.32,58871.73,59015.89,14.41,15.23,0.8,1.46,-0.66,0.55,-0.91,1.83,0.66,Underestimated,2142,-10583,6166,FII Neutral,Neutral,9042,3064,54088,PRO Hedging (bought puts >20K),0
2021-09-24,Friday,monthly,▅↓▁↑█↓▃ 📉,60158.76,60333.0,59946.55,60048.47,16.6,16.92,0.89,0.64,-0.18,0.29,-0.35,0.73,-0.24,Overestimated,8050,5087,-62167,FII Confident (sold puts >20K),Bullish,-6401,174693,-22550,PRO Confident (sold puts >20K),0
2021-10-01,Friday,weekly,█↓▁↑█↓▅ 📉,58889.77,58890.08,58551.14,58765.58,18.4,17.21,0.9,0.58,-0.21,0.0,-0.58,0.64,-0.33,Overestimated,25910,-102744,-107372,FII Bullish (bought fut + sold puts),Bullish,-20893,169481,90599,PRO Very Bearish (sold fut >10K + bought puts >20K),0
2021-10-08,Friday,weekly,▃↓▁↑█↓▅ 📈,59960.39,60212.3,59830.93,60059.06,16.16,15.65,0.82,0.64,0.16,0.42,-0.22,0.78,-0.18,Overestimated,13388,-4881,-47746,FII Bullish (bought fut + sold puts),Bullish,-7423,185679,-43344,PRO Confident (sold puts >20K),0
2021-10-15,Friday,weekly,▃↓▁↑█↓▇ 📈,61088.82,61353.25,60978.04,61305.95,16.1,15.77,0.83,0.61,0.36,0.43,-0.18,0.74,-0.21,Overestimated,14274,-3171,-136,FII Mildly Bullish,Neutral,636,14490,68525,PRO Hedging (bought puts >20K),0
2021-10-22,Friday,weekly,▅↓▁↑█↓▃ 📉,61044.54,61420.13,60551.15,60821.62,18.04,17.55,0.92,1.42,-0.37,0.62,-0.81,1.55,0.5,Underestimated,-17071,16695,31427,FII Very Bearish (sold fut >10K + bought puts >20K),Bearish,8646,106086,21337,PRO Hedging (bought puts >20K),0
2021-10-29,Friday,monthly,▆↓▁↑█↓▂ 📉,59857.33,60132.81,59089.37,59306.93,17.91,17.43,0.91,1.74,-0.92,0.46,-1.28,1.91,0.83,Underestimated,11319,-57051,-72871,FII Bullish (bought fut + sold puts),Bullish,-4716,133762,68335,PRO Hedging (bought puts >20K),0
2021-11-05,Friday,weekly,█↓▁↑█↓▃ 📉,60207.97,60207.97,60011.46,60067.62,16.13,15.75,0.82,0.33,-0.23,0.0,-0.33,0.4,-0.5,Overestimated,82,-4882,-12776,FII Neutral,Neutral,2696,25048,10614,PRO Neutral,0
2021-11-12,Friday,weekly,▃↓▁↑█↓▇ 📈,60248.04,60750.72,59997.96,60686.69,16.35,15.22,0.8,1.25,0.73,0.83,-0.42,1.57,0.45,Overestimated,2262,-5417,-3558,FII Neutral,Neutral,-2014,80456,-34552,PRO Confident (sold puts >20K),0
2021-11-19,Friday,weekly,▆↓▁↑█↓▃ 📉,59968.75,60177.52,59376.5,59636.01,14.98,14.86,0.78,1.34,-0.55,0.35,-0.99,1.72,0.56,Underestimated,-2033,24058,33265,FII Hedging (bought puts >20K),Neutral,-2788,141538,-47082,PRO Confident (sold puts >20K),0
2021-11-26,Friday,monthly,█↓▁↑█↓▂ 📉,58254.79,58254.79,56993.89,57107.15,16.66,20.8,1.09,2.16,-1.97,0.0,-2.16,1.99,1.08,Underestimated,50867,-13503,-38106,FII Bullish (bought fut + sold puts),Bullish,-17413,195843,52023,PRO Very Bearish (sold fut >10K + bought puts >20K),0
2021-12-03,Friday,weekly,▇↓▁↑█↓▁ 📉,58555.58,58757.09,57640.57,57696.46,18.09,18.45,0.97,1.91,-1.47,0.34,-1.56,1.97,0.94,Underestimated,1855,22187,14650,FII Neutral,Neutral,2592,54166,3724,PRO Neutral,0
2021-12-10,Friday,weekly,▅↓▁↑█↓▇ 📈,58696.71,58859.91,58414.76,58786.67,16.6,16.06,0.84,0.76,0.15,0.28,-0.48,0.9,-0.08,Overestimated,-8058,13146,33413,FII Hedging (bought puts >20K),Bearish,-687,-60285,90195,PRO Hedging (bought puts >20K),0
2021-12-17,Friday,weekly,█↓▁↑█↓▁ 📉,58021.63,58062.28,56950.98,57011.74,15.9,16.34,0.86,1.92,-1.74,0.07,-1.85,2.24,1.06,Underestimated,9462,8273,-23665,FII Confident (sold puts >20K),Bullish,1747,95171,-49181,PRO Confident (sold puts >20K),0
2021-12-24,Friday,weekly,█↓▁↑█↓▄ 📉,57567.11,57623.69,56813.42,57124.31,15.83,16.15,0.85,1.41,-0.77,0.1,-1.31,1.66,0.56,Underestimated,11482,50474,46046,FII Hedging (bought puts >20K),Bullish,-10278,11591,38011,PRO Very Bearish (sold fut >10K + bought puts >20K),0
2021-12-31,Friday,monthly,▁↓▁↑█↓▆ 📈,57849.76,58409.3,57846.52,58253.82,16.57,16.22,0.85,0.97,0.7,0.97,-0.01,1.15,0.12,Overestimated,5161,-107387,-210630,FII Confident (sold puts >20K),Bullish,10598,208371,129613,PRO Hedging (bought puts >20K),0
2022-01-07,Friday,weekly,▅↓▁↑█↓▄ 📉,59776.1,60130.18,59401.44,59744.65,17.98,17.6,0.92,1.22,-0.05,0.59,-0.63,1.32,0.3,Overestimated,-33631,9274,62311,FII Very Bearish (sold fut >10K + bought puts >20K),Bearish,-5565,105064,275288,PRO Hedging (bought puts >20K),0
2022-01-14,Friday,weekly,▄↓▁↑█↓▇ 📈,61040.32,61324.59,60757.03,61223.03,16.7,16.56,0.87,0.93,0.3,0.47,-0.46,1.07,0.06,Overestimated,16122,19306,18292,FII Mildly Bullish,Bullish,1676,77558,140449,PRO Hedging (bought puts >20K),0
2022-01-21,Friday,weekly,▅↓▁↑█↓▅ 📉,59039.37,59329.63,58620.93,59037.18,17.79,18.89,0.99,1.2,-0.0,0.49,-0.71,1.21,0.21,Overestimated,-23278,-38775,-10876,FII Bearish (sold fut >10K),Bearish,851,201664,30242,PRO Hedging (bought puts >20K),0
2022-01-28,Friday,monthly,▆↓▁↑█↓▂ 📉,57795.11,58084.33,57119.28,57200.23,21.07,20.7,1.08,1.67,-1.03,0.5,-1.17,1.54,0.59,Underestimated,-22728,-54827,-31377,FII Bearish (sold fut >10K),Bearish,18859,100799,116912,PRO Hedging (bought puts >20K),0
2022-02-04,Friday,weekly,█↓▁↑█↓▄ 📉,58918.65,58943.62,58446.95,58644.82,19.16,18.9,0.99,0.84,-0.46,0.04,-0.8,0.85,-0.15,Overestimated,-12924,-8237,27272,FII Very Bearish (sold fut >10K + bought puts >20K),Bearish,-12448,78968,212251,PRO Very Bearish (sold fut >10K + bought puts >20K),0
2022-02-11,Friday,weekly,█↓▁↑█↓▄ 📉,58447.15,58447.15,57914.1,58152.92,17.71,18.68,0.98,0.91,-0.5,0.0,-0.91,0.93,-0.07,Overestimated,25156,-3992,-42213,FII Bullish (bought fut + sold puts),Bullish,-1243,103809,80962,PRO Hedging (bought puts >20K),0
