date,fii_fut_idx_net,fii_fut_stk_net,fii_call_net,fii_put_net,pro_fut_idx_net,pro_fut_stk_net,pro_call_net,pro_put_net,dii_fut_idx_net,dii_fut_stk_net,dii_call_net,dii_put_net,client_fut_idx_net,client_fut_stk_net,client_call_net,client_put_net,fii_fut_daily,fii_call_daily,fii_put_daily,fii_direction,fii_stance,pro_fut_daily,pro_call_daily,pro_put_daily,pro_direction,pro_stance,dii_fut_daily,dii_call_daily,dii_put_daily,dii_direction,dii_stance,client_fut_daily,client_call_daily,client_put_daily,client_direction,client_stance
2026-07-24,-270847,574712,-258810,535178,29221,416153,206503,126665,65128,-3904944,7540,41049,176498,2914079,44766,-702891,0,0,0,Neutral,FII Neutral,0,0,0,Neutral,PRO Neutral,0,0,0,Neutral,DII Neutral,0,0,0,Neutral,CLIENT Neutral
2026-07-27,-266925,651191,-225538,482049,32647,380567,151379,121788,65085,-3930238,7535,50521,169193,2898480,66623,-654358,3922,33272,-53129,Bullish,FII Confident (sold puts >20K),3426,-55124,-4877,Bearish,PRO Mildly Bearish,-43,-5,9472,Neutral,DII Neutral,-7305,21857,48533,Bearish,CLIENT Hedging (bought puts >20K)
2026-07-28,-205601,564209,-247547,521900,-2123,498366,55221,63350,54471,-3940979,3280,38077,153253,2878404,189046,-623327,61324,-22009,39851,Neutral,FII Hedging (bought puts >20K),-34770,-96158,-58438,Bearish,PRO Bearish (sold fut >10K),-10614,-4255,-12444,Neutral,DII Bearish (sold fut >10K),-15940,122423,31031,Bullish,CLIENT Very Bearish (sold fut + bought puts)
2026-07-29,-194818,626378,-158213,477176,5236,477538,145235,-36897,54192,-3948178,4330,45914,135390,2844262,8648,-486193,10783,89334,-44724,Bullish,FII Bullish (bought fut + sold puts),7359,90014,-100247,Bullish,PRO Confident (sold puts >20K),-279,1050,7837,Neutral,DII Neutral,-17863,-180398,137134,Bearish,CLIENT Very Bearish (sold fut + bought puts)
2026-07-30,-186612,622289,-176285,440725,3566,453555,132067,-22921,49558,-3931438,4345,52405,133488,2855594,39874,-470209,8206,-18072,-36451,Bullish,FII Confident (sold puts >20K),-1670,-13168,13976,Bearish,PRO Neutral,-4634,15,6491,Neutral,DII Neutral,-1902,31226,15984,Neutral,CLIENT Neutral
2026-07-31,-173113,644463,-184525,453770,-18,447724,155914,181150,45207,-3939708,4495,52700,127924,2847521,24116,-687620,13499,-8240,13045,Neutral,FII Mildly Bullish,-3584,23847,204071,Bearish,PRO Hedging (bought puts >20K),-4351,150,295,Neutral,DII Neutral,-5564,-15758,-217411,Bullish,CLIENT Confident (sold puts >20K)
2026-08-03,-150816,643226,-128530,433395,-11121,429299,181963,75732,45655,-3922923,4240,51905,116282,2850398,-57674,-561032,22297,55995,-20375,Bullish,FII Bullish (bought fut + sold puts),-11103,26049,-105418,Bullish,PRO Bearish (sold fut >10K),448,-255,-795,Neutral,DII Neutral,-11642,-81790,126588,Bearish,CLIENT Very Bearish (sold fut + bought puts)
2026-08-04,-153773,627538,-164997,485728,-18363,411365,-18078,-34252,37839,-3919592,5270,48525,134297,2880689,177805,-500002,-2957,-36467,52333,Bearish,FII Hedging (bought puts >20K),-7242,-200041,-109984,Bearish,PRO Confident (sold puts >20K),-7816,1030,-3380,Neutral,DII Neutral,18015,235479,61030,Bullish,CLIENT Hedging (bought puts >20K)
2026-08-05,-158903,636075,-228591,461172,-12240,423653,147214,46669,34992,-3961651,5260,49779,136151,2901923,76116,-557620,-5130,-63594,-24556,Bearish,FII Confident (sold puts >20K),6123,165292,80921,Bullish,PRO Hedging (bought puts >20K),-2847,-10,1254,Neutral,DII Neutral,1854,-101689,-57618,Bearish,CLIENT Confident (sold puts >20K)
2026-08-06,-145118,639164,-163045,387627,-13225,420198,190664,-39833,34476,-3961705,5815,50694,123867,2902343,-33433,-398489,13785,65546,-73545,Bullish,FII Bullish (bought fut + sold puts),-985,43450,-86502,Bullish,PRO Confident (sold puts >20K),-516,555,915,Neutral,DII Neutral,-12284,-109549,159131,Bearish,CLIENT Very Bearish (sold fut + bought puts)
2026-08-07,-150058,633534,-213031,414412,-14661,420153,240413,100174,34333,-3968597,6978,52164,130386,2914910,-34360,-566751,-4940,-49986,26785,Bearish,FII Hedging (bought puts >20K),-1436,49749,140007,Bearish,PRO Hedging (bought puts >20K),-143,1163,1470,Neutral,DII Neutral,6519,-927,-168262,Bullish,CLIENT Confident (sold puts >20K)
2026-08-10,-152163,626950,-199936,429792,-12782,422297,213586,72417,34593,-3974470,7010,50647,130352,2925223,-20660,-552857,-2105,13095,15380,Neutral,FII Neutral,1879,-26827,-27757,Neutral,PRO Confident (sold puts >20K),260,32,-1517,Neutral,DII Neutral,-34,13700,13894,Neutral,CLIENT Neutral
2026-08-11,-156131,616514,-197579,485144,-11128,428765,1855,-13074,31585,-3992937,6990,51200,135674,2947658,188733,-523270,-3968,2357,55352,Bearish,FII Hedging (bought puts >20K),1654,-211731,-85491,Bearish,PRO Confident (sold puts >20K),-3008,-20,553,Neutral,DII Neutral,5322,209393,29587,Bullish,CLIENT Hedging (bought puts >20K)
