date,day_of_week,expiry_type,chart,sensex_open,sensex_high,sensex_low,sensex_close,vix_open,vix_close,vix_predicted_move_pct,actual_range_pct,actual_open_close_pct,intraday_high_pct,intraday_low_pct,range_vs_vix_ratio,diff_pct,vix_accuracy
2024-06-28,Friday,monthly,▆↓▁↑█↓▂ 📉,79457.58,79671.58,78905.89,79032.73,14.15,13.8,0.72,0.96,-0.53,0.27,-0.69,1.33,0.24,Overestimated
2024-07-05,Friday,weekly,▄↓▁↑█↓▆ 📈,79778.98,80149.87,79478.96,79996.6,12.86,12.7,0.66,0.84,0.27,0.46,-0.38,1.26,0.18,Overestimated
2024-07-12,Friday,weekly,▃↓▁↑█↓▆ 📈,80093.62,80893.51,79843.39,80519.34,14.0,13.73,0.72,1.31,0.53,1.0,-0.31,1.82,0.59,Underestimated
2024-07-19,Friday,weekly,█↓▁↑█↓▂ 📉,81585.06,81587.76,80499.1,80604.65,14.51,14.83,0.78,1.33,-1.2,0.0,-1.33,1.72,0.56,Underestimated
2024-07-26,Friday,monthly,▂↓▁↑█↓█ 📈,80158.5,81427.18,80013.6,81332.72,12.62,12.25,0.64,1.76,1.46,1.58,-0.18,2.75,1.12,Underestimated
2024-08-02,Friday,weekly,▅↓▁↑█↓▃ 📉,81158.99,81345.6,80868.91,80981.95,12.93,14.32,0.75,0.59,-0.22,0.23,-0.36,0.78,-0.16,Overestimated
2024-08-09,Friday,weekly,█↓▁↑█↓▄ 📉,79984.24,79984.24,79549.09,79705.91,16.6,15.34,0.8,0.54,-0.35,0.0,-0.54,0.68,-0.26,Overestimated
2024-08-16,Friday,weekly,▄↓▁↑█↓█ 📈,79754.85,80518.21,79306.69,80436.84,15.44,14.4,0.75,1.52,0.86,0.96,-0.56,2.01,0.77,Underestimated
2024-08-23,Friday,weekly,▇↓▁↑█↓▅ 📉,81165.65,81231.49,80883.26,81086.21,13.0,13.55,0.71,0.43,-0.1,0.08,-0.35,0.6,-0.28,Overestimated
2024-08-30,Friday,monthly,█↓▁↑█↓▃ 📉,82637.03,82637.03,82256.02,82365.77,13.79,13.39,0.7,0.46,-0.33,0.0,-0.46,0.66,-0.24,Overestimated
2024-09-06,Friday,weekly,█↓▁↑█↓▂ 📉,82171.08,82254.79,80981.93,81183.93,14.21,15.22,0.8,1.55,-1.2,0.1,-1.45,1.94,0.75,Underestimated
2024-09-13,Friday,weekly,█↓▁↑█↓▅ 📉,83091.55,83092.93,82653.22,82890.94,13.18,12.55,0.66,0.53,-0.24,0.0,-0.53,0.81,-0.13,Overestimated
2024-09-20,Friday,weekly,▃↓▁↑█↓▇ 📈,83603.04,84694.46,83187.64,84544.31,12.47,12.79,0.67,1.8,1.13,1.31,-0.5,2.69,1.13,Underestimated
2024-09-27,Friday,monthly,▇↓▁↑█↓▂ 📉,85893.84,85978.25,85474.58,85571.85,12.0,11.96,0.63,0.59,-0.37,0.1,-0.49,0.94,-0.04,Overestimated
2024-10-04,Friday,weekly,▄↓▁↑█↓▂ 📉,82244.25,83368.32,81532.68,81688.45,13.17,14.13,0.74,2.23,-0.68,1.37,-0.87,3.02,1.49,Underestimated
