date,nifty_open,nifty_high,nifty_low,nifty_close,vix_open,vix_close,vix_predicted_move_pct,actual_range_pct,actual_open_close_pct,intraday_high_pct,intraday_low_pct,range_vs_vix_ratio,vix_accuracy
2024-06-27,23881.55,24087.45,23805.4,24044.5,14.05,14.15,0.74,1.18,0.68,0.86,0.32,1.61,Underestimated
2024-07-25,24230.95,24426.15,24210.8,24406.1,11.76,12.62,0.62,0.89,0.72,0.81,0.08,1.44,Underestimated
2024-08-29,25035.3,25192.9,24998.5,25151.95,13.95,13.79,0.73,0.78,0.47,0.63,0.15,1.06,Underestimated
2024-09-26,26005.4,26250.9,25998.4,26216.05,12.74,12.0,0.67,0.97,0.81,0.94,0.03,1.46,Underestimated
2024-10-31,24349.85,24372.45,24172.6,24205.35,15.51,15.55,0.81,0.82,0.59,0.09,0.73,1.01,Underestimated
2024-11-28,24274.15,24345.75,23873.35,23914.15,14.63,15.21,0.77,1.95,1.48,0.29,1.65,2.54,Underestimated
2024-12-26,23775.8,23854.5,23653.6,23750.2,13.18,14.04,0.69,0.84,0.11,0.33,0.51,1.22,Underestimated
2025-01-30,23169.5,23322.05,23139.2,23249.5,18.64,17.39,0.98,0.79,0.35,0.66,0.13,0.81,Overestimated
2025-02-27,22568.95,22613.3,22508.4,22545.05,13.72,13.31,0.72,0.46,0.11,0.2,0.27,0.65,Overestimated
2025-03-27,23433.95,23646.45,23412.2,23591.95,13.47,13.3,0.71,1.0,0.67,0.91,0.09,1.42,Underestimated
2025-04-24,24277.9,24347.85,24216.15,24246.7,15.96,16.25,0.84,0.54,0.13,0.29,0.25,0.65,Overestimated
2025-05-29,24825.1,24892.6,24677.3,24833.6,18.02,16.42,0.94,0.87,0.03,0.27,0.6,0.92,Overestimated
2025-06-26,25268.95,25565.3,25259.9,25549.0,12.96,12.59,0.68,1.21,1.11,1.17,0.04,1.78,Underestimated
2025-07-31,24642.25,24956.5,24635.0,24768.35,11.21,11.54,0.59,1.3,0.51,1.28,0.03,2.22,Underestimated
2025-08-28,24695.8,24702.65,24481.6,24500.9,12.19,12.18,0.64,0.9,0.79,0.03,0.87,1.4,Underestimated
2025-09-25,25034.5,25092.7,24878.3,24890.85,10.52,10.78,0.55,0.86,0.57,0.23,0.62,1.55,Underestimated
2025-10-30,25984.4,26032.05,25845.25,25877.85,11.97,12.07,0.63,0.72,0.41,0.18,0.54,1.15,Underestimated
2025-11-27,26261.25,26310.45,26141.9,26215.55,11.97,11.79,0.63,0.64,0.17,0.19,0.45,1.02,Underestimated
2025-12-24,26170.65,26236.4,26123.0,26142.1,9.38,9.19,0.49,0.43,0.11,0.25,0.18,0.88,Overestimated
2026-01-29,25345.0,25458.15,25159.8,25418.9,13.53,13.37,0.71,1.18,0.29,0.45,0.73,1.66,Underestimated
2026-02-26,25556.3,25572.95,25400.95,25496.55,13.49,13.06,0.71,0.67,0.23,0.07,0.61,0.95,Overestimated
2026-03-25,23064.4,23465.35,23063.2,23306.45,24.74,24.64,1.3,1.74,1.05,1.74,0.01,1.35,Underestimated
2026-04-30,23996.95,24087.45,23796.85,23997.55,17.44,18.46,0.91,1.21,0.0,0.38,0.83,1.33,Underestimated
2026-05-27,23880.35,23983.2,23858.25,23907.15,16.13,14.98,0.84,0.52,0.11,0.43,0.09,0.62,Overestimated
2026-06-25,24125.85,24261.6,24039.0,24056.0,13.39,13.05,0.7,0.92,0.29,0.56,0.36,1.32,Underestimated
