date,day_of_week,is_nifty_expiry,expiry_type,nifty_open,nifty_high,nifty_low,nifty_close,actual_range_pct,actual_open_close_pct,intraday_high_pct,intraday_low_pct,move_direction,nifty_day,vix_open,vix_close,t1_fii_fut_daily,t1_fii_call_daily,t1_fii_put_daily,t1_fii_stance,fii_composite,fii_view,t1_pro_fut_daily,t1_pro_call_daily,t1_pro_put_daily,t1_pro_stance,pro_composite,pro_view
2020-08-06,Thursday,1,weekly,11185.7,11256.15,11130.4,11206.8,1.12,0.19,0.63,-0.49,Down to Up,Green,23.57,23.15,-6838.0,-6911.0,-1534.0,FII Neutral,-12215.0,Neutral,14387.0,-66337.0,-1532.0,PRO Mildly Bullish,-50418.0,Bearish
2020-08-07,Friday,0,weekly,11186.65,11231.85,11145.2,11216.9,0.77,0.27,0.4,-0.37,Down to Up,Green,23.15,22.58,3529.0,16753.0,-7420.0,FII Neutral,27702.0,Neutral,-1754.0,99600.0,44973.0,PRO Hedging (bought puts >20K),52873.0,Bullish
2020-08-10,Monday,0,,11270.25,11336.85,11238.35,11274.65,0.87,0.04,0.59,-0.28,Down to Up,Green,22.58,22.51,-688.0,-6479.0,-266.0,FII Neutral,-6901.0,Neutral,-3528.0,4.0,-12672.0,PRO Neutral,9148.0,Neutral
2020-08-11,Tuesday,0,,11322.25,11372.85,11299.25,11332.0,0.65,0.09,0.45,-0.2,Down to Up,Green,22.51,21.36,555.0,-2416.0,7462.0,FII Neutral,-9323.0,Neutral,9446.0,-33175.0,-5750.0,PRO Mildly Bearish,-17979.0,Neutral
2020-08-12,Wednesday,0,,11289.0,11321.85,11243.45,11310.75,0.69,0.19,0.29,-0.4,Down to Up,Green,21.36,20.85,1538.0,-1226.0,2411.0,FII Neutral,-2099.0,Neutral,2807.0,-9940.0,-15110.0,PRO Neutral,7977.0,Neutral
2020-08-13,Thursday,1,weekly,11334.85,11359.25,11270.6,11312.2,0.78,-0.2,0.22,-0.57,Top to Down,Red,20.85,20.57,-15939.0,2916.0,7335.0,FII Bearish (sold fut >10K),-20358.0,Neutral,5092.0,-29808.0,-18445.0,PRO Mildly Bearish,-6271.0,Neutral
2020-08-14,Friday,0,weekly,11353.3,11366.1,11112.3,11183.05,2.24,-1.5,0.11,-2.12,Top to Down,Red,20.57,21.67,7906.0,5055.0,-5573.0,FII Neutral,18534.0,Neutral,-6182.0,63245.0,63228.0,PRO Hedging (bought puts >20K),-6165.0,Neutral
2020-08-17,Monday,0,,11248.9,11266.95,11145.35,11259.65,1.08,0.1,0.16,-0.92,Down to Up,Green,21.67,21.31,6640.0,-754.0,4146.0,FII Neutral,1740.0,Neutral,-6624.0,-44535.0,177.0,PRO Mildly Bearish,-51336.0,Bearish
2020-08-18,Tuesday,0,,11259.8,11401.15,11255.4,11391.2,1.29,1.17,1.26,-0.04,Down to Up,Green,21.31,20.43,19192.0,8913.0,-3475.0,FII Mildly Bullish,31580.0,Mildly Bullish,-5906.0,13690.0,-32363.0,PRO Confident (sold puts >20K),40147.0,Mildly Bullish
2020-08-19,Wednesday,0,,11452.15,11458.6,11394.45,11421.35,0.56,-0.27,0.06,-0.5,Top to Down,Red,20.43,19.96,-1938.0,7355.0,7142.0,FII Neutral,-1725.0,Neutral,-2084.0,27692.0,-50277.0,PRO Confident (sold puts >20K),75885.0,Bullish
