date,day_of_week,expiry_type,chart,nifty_open,nifty_high,nifty_low,nifty_close,vix_open,vix_close,vix_predicted_move_pct,actual_range_pct,actual_open_close_pct,intraday_high_pct,intraday_low_pct,range_vs_vix_ratio,diff_pct,vix_accuracy,move_direction,close_in_prev_range,prev_close_to_close_pct,close_vs_prev_range,t1_fii_fut_daily,t1_fii_call_daily,t1_fii_put_daily,t1_fii_stance,t1_pro_fut_daily,t1_pro_call_daily,t1_pro_put_daily,t1_pro_stance,expiry_risk_level,observation
2020-07-02,Thursday,weekly,▁↑▁↑█↓▅ 📈,10493.05,10598.2,10485.55,10551.7,28.12,26.51,1.47,1.07,0.56,1.0,0.07,0.73,-0.4,Overestimated,Down to Up,No,1.17,Above High,15943,-9774,-11159,FII Mildly Bullish,-3019,26399,-95011,PRO Confident (sold puts >20K),LOW (9% blowout history),Normal day | VIX prediction was accurate within 0.5%
2020-07-09,Thursday,weekly,▃↓▁↑█↓▆ 📈,10755.55,10836.85,10733.0,10813.45,26.1,24.91,1.37,0.97,0.54,0.76,0.21,0.71,-0.4,Overestimated,Down to Up,Yes,1.01,Within Range,14325,7527,7716,FII Mildly Bullish,-1046,-65041,12474,PRO Mildly Bearish,LOW (9% blowout history),Normal day | VIX prediction was accurate within 0.5%
2020-07-16,Thursday,weekly,▆↓▁↑█↓▇ 📈,10706.2,10755.3,10595.2,10739.95,26.29,25.36,1.38,1.5,0.32,0.46,1.04,1.09,0.12,Overestimated,Down to Up,Yes,1.15,Within Range,19831,6257,-10288,FII Mildly Bullish,-5776,-1956,-22764,PRO Confident (sold puts >20K),LOW (9% blowout history),Normal day | VIX prediction was accurate within 0.5%
2020-07-23,Thursday,weekly,▃↓▁↑█↓▇ 📈,11135.0,11239.8,11103.15,11215.45,24.89,24.64,1.3,1.23,0.72,0.94,0.29,0.94,-0.08,Overestimated,Down to Up,Yes,0.74,Within Range,3659,-2096,9556,FII Neutral,-3218,-29111,-1869,PRO Mildly Bearish,LOW (9% blowout history),Normal day | VIX prediction was accurate within 0.5%
2020-07-30,Thursday,monthly,▇↓▁↑█↓▂ 📉,11254.3,11299.95,11084.95,11102.15,24.11,24.73,1.26,1.91,1.35,0.41,1.5,1.51,0.65,Underestimated,Top to Down,No,-0.9,Below Low,-9807,-11783,20407,FII Hedging (bought puts >20K),19562,-76277,29842,PRO Hedging (bought puts >20K),HIGH (50% blowout history),BLOWOUT Top to Down | Actual 1.91% vs VIX predicted 1.26% (miss: +0.65%)
2020-08-06,Thursday,weekly,▄↓▁↑█↓▅ 📈,11185.7,11256.8,11127.3,11200.15,23.57,23.15,1.23,1.16,0.13,0.64,0.52,0.94,-0.08,Overestimated,Down to Up,Yes,0.89,Within Range,-6838,-6911,-1534,FII Neutral,14387,-66337,-1532,PRO Mildly Bullish,LOW (9% blowout history),Normal day | VIX prediction was accurate within 0.5%
2020-08-13,Thursday,weekly,▆↓▁↑█↓▃ 📉,11334.85,11359.3,11269.95,11300.45,20.85,20.57,1.09,0.79,0.3,0.22,0.57,0.72,-0.3,Overestimated,Top to Down,Yes,-0.07,Within Range,-15939,2916,7335,FII Bearish (sold fut >10K),5092,-29808,-18445,PRO Mildly Bearish,HIGH (50% blowout history),Normal day | VIX prediction was accurate within 0.5%
2020-08-20,Thursday,weekly,▄↓▁↑█↓▃ 📉,11317.45,11361.45,11289.8,11312.2,19.96,20.62,1.05,0.63,0.05,0.39,0.24,0.61,-0.41,Overestimated,Top to Down,No,-0.84,Below Low,-1994,-5333,2345,FII Neutral,8210,-40110,5740,PRO Mildly Bearish,LOW (9% blowout history),Normal day | VIX prediction was accurate within 0.5%
2020-08-27,Thursday,monthly,▇↓▁↑█↓▃ 📉,11609.3,11617.35,11540.6,11559.25,19.3,18.9,1.01,0.66,0.43,0.07,0.59,0.65,-0.35,Overestimated,Top to Down,Yes,0.08,Within Range,3556,6541,-7614,FII Neutral,-5861,17599,-54629,PRO Confident (sold puts >20K),LOW (9% blowout history),Normal day | VIX prediction was accurate within 0.5%
2020-09-03,Thursday,weekly,▆↓▁↑█↓▃ 📉,11566.2,11584.95,11507.65,11527.45,21.11,20.5,1.11,0.67,0.34,0.16,0.51,0.6,-0.44,Overestimated,Top to Down,Yes,-0.07,Within Range,-9711,-15308,-1133,FII Neutral,-3942,-4360,-25940,PRO Confident (sold puts >20K),LOW (9% blowout history),Normal day | VIX prediction was accurate within 0.5%
